校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
001012,中國文學系,23,前,均,均,均,均,--,--,--
,,,3,6,--,--,8,--,,--
001022,外國語文學系,48,前,頂,均,均,前,--,A,--
,,,--,2.5,--,--,--,--,,--
001032,歷史學系,23,前,前,--,均,前,--,--,--
,,,6,4,--,--,3,--,,--
001042,哲學系,21,前,前,前,前,--,--,--,--
,,,6,3,--,--,--,--,,--
001052,人類學系,13,--,均,--,--,均,--,--,國英數B社
,,,--,5,--,--,--,--,,2.5 
001062,圖書資訊學系,23,前,前,均,均,均,--,--,國英社
,,,5,3,--,--,--,--,,6 
001072,日本語文學系,25,前,前,--,均,前,--,--,國英數B社
,,,3,3,--,--,4,--,,5 
001092,數學系,16,--,前,頂,--,--,頂,--,--
,,,--,--,3,--,--,10,,--
001102,物理學系,29,均,均,前,--,--,前,--,--
,,,--,--,3,--,--,6,,--
001112,化學系,24,均,均,均,--,--,均,--,--
,,,--,3,5.5,--,--,4,,--
001122,地質科學系,25,均,均,均,--,--,均,--,國英數A自
,,,--,--,4,--,--,3,,6 
001132,心理學系,20,均,均,均,--,--,均,--,--
,,,--,2.5,2.5,--,--,2.5,,--
001142,地理環境資源學系,15,--,均,均,--,均,--,--,英數A社
,,,--,3,5,--,6,--,,7 
001152,大氣科學系,20,均,均,均,--,--,均,--,國英數A自
,,,--,--,3,--,--,3,,6 
001162,政治學系政治理論組,18,前,前,均,均,前,--,--,--
,,,5,2.5,--,--,5,--,,--
001172,政治學系國際關係組,18,前,前,均,均,前,--,--,--
,,,5,2.5,--,--,5,--,,--
001182,政治學系公共行政組,17,前,前,均,均,前,--,--,--
,,,5,2.5,--,--,5,--,,--
001192,經濟學系A組,20,--,前,前,--,--,--,--,--
,,,--,--,3,--,6,--,,--
001202,經濟學系B組,14,--,前,前,--,--,--,--,--
,,,--,7,3.5,--,--,--,,--
001212,經濟學系C組,21,--,前,前,--,--,--,--,--
,,,--,--,3,--,6,--,,--
001222,社會學系,19,前,前,--,均,前,--,--,--
,,,3,3,--,--,3,--,,--
001232,社會工作學系,17,均,均,--,均,均,--,--,--
,,,5,3,--,5,5,--,,--
001242,醫學系,51,頂,頂,頂,--,--,頂,--,國英數A自
,,,4,2,2,--,--,2,,3 
001252,醫學系(公費生),12,頂,頂,頂,--,--,頂,--,國英數A自
,,,4,2,2,--,--,2,,3 
001262,牙醫學系,11,前,頂,頂,--,--,頂,--,國英數A自
,,,--,2.5,2.5,--,--,2.5,,3 
001272,藥學系,23,均,均,--,--,--,--,--,國英
,,,--,--,3,--,--,3,,2.5 
001282,醫學檢驗暨生物技術學系,20,均,前,均,--,--,前,--,--
,,,--,--,--,--,--,3,,--
001292,護理學系,30,均,均,均,--,--,均,--,--
,,,--,6,--,--,--,3,,--
001302,物理治療學系,16,均,均,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
001312,職能治療學系,21,前,前,前,--,--,前,--,--
,,,5,6,3,--,--,3,,--
001322,土木工程學系,54,均,均,均,--,--,均,--,--
,,,3,3,3,--,--,3,,--
001332,機械工程學系,82,--,均,前,--,--,前,--,--
,,,--,3,3,--,--,3,,--
001342,化學工程學系,61,--,前,前,--,--,前,--,--
,,,--,6,3,--,--,3,,--
