校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
002012,教育學系,26,前,前,--,均,均,--,--,國英數B社
,,,--,--,--,--,--,--,,2.5 
002022,教育心理與輔導學系,16,前,前,--,均,均,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
002032,社會教育學系,22,前,前,--,均,前,--,--,--
,,,3,5,--,5,3,--,,--
002042,社會教育學系(青年儲蓄帳戶組),1,前,前,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
002052,健康促進與衛生教育學系,18,均,均,--,--,--,--,--,--
,,,2.5,2.5,--,--,--,--,,--
002062,幼兒與家庭科學學系家庭生活與教育組,14,均,均,--,均,均,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
002072,幼兒與家庭科學學系幼兒發展與教育組,14,均,均,--,--,--,--,--,國英數B社
,,,--,3,--,4,--,--,,5 
002082,幼兒與家庭科學學系幼兒發展與教育組(青年儲蓄帳戶組),1,均,均,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
002092,公民教育與活動領導學系,29,前,前,--,均,前,--,--,國英數B社
,,,--,--,--,--,3,--,,4 
002102,特殊教育學系,15,均,均,--,--,--,--,--,國英
,,,3,4,--,--,--,--,,5 
002112,特殊教育學系(公費生),1,均,均,--,--,--,--,--,國英
,,,8,9,--,--,--,--,,10 
002122,學習科學學士學位學程,5,均,均,前,--,--,--,--,--
,,,8,--,4,--,--,--,,--
002132,教育學院學士班,8,均,均,均,均,--,--,--,國英
,,,--,4,--,--,--,--,,5 
002142,教育學院學士班(青年儲蓄帳戶組),1,均,均,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
002152,國文學系,36,前,前,--,--,前,--,--,國英社
,,,3,--,--,--,--,--,,4 
002162,英語學系,40,--,頂,--,--,--,--,A,--
,,,--,3,--,--,--,--,,--
002172,英語學系(公費生甲組),1,--,頂,--,--,--,--,A,--
,,,--,3,--,--,--,--,,--
002182,英語學系(公費生乙組),1,--,頂,--,--,--,--,A,--
,,,--,3,--,--,--,--,,--
002192,歷史學系,25,前,前,--,--,前,--,--,國英社
,,,5,4,--,--,3,--,,6 
002202,歷史學系(公費生),1,前,前,--,--,前,--,--,國英社
,,,12,11,--,--,10,--,,13 
002212,地理學系,35,前,均,--,均,均,--,B,--
,,,--,4,--,3,5,--,,--
002222,臺灣語文學系,8,前,均,--,--,前,--,--,--
,,,7,5,--,--,4,--,,--
002232,數學系,44,--,均,前,--,--,均,--,英數A自
,,,--,--,3,--,--,--,,5 
002242,數學系(公費生),1,--,均,前,--,--,均,--,英數A自
,,,--,--,3,--,--,--,,5 
002252,物理學系,35,--,--,--,--,--,均,--,--
,,,--,--,3,--,--,4,,--
002262,物理學系(公費生),1,--,--,--,--,--,均,--,--
,,,--,--,10,--,--,12,,--
002272,化學系,37,--,均,均,--,--,均,--,--
,,,--,5,4,--,--,3,,--
002282,生命科學系,21,均,均,均,--,--,--,--,國英數A自
,,,--,--,--,--,--,3,,10 
002292,地球科學系,13,--,--,均,--,--,均,--,--
,,,--,--,12,--,--,3.5,,--
002302,資訊工程學系,24,均,均,前,--,--,前,--,--
,,,--,8,3,--,--,--,,--
002322,資訊工程學系(資安組),5,均,均,前,--,--,--,--,--
,,,--,10,3,--,--,--,,--
002332,營養科學學士學位學程,13,--,均,--,--,--,均,--,國英數A自
,,,--,--,--,--,--,3,,10 
002342,科技應用與人力資源發展學系,39,--,均,均,--,--,均,--,--
,,,--,3,4,--,--,5,,--
002352,圖文傳播學系,8,均,均,均,--,--,--,--,--
,,,7,6,8,--,--,--,,--
002362,機電工程學系,11,均,均,前,--,--,均,--,國英數A自
,,,--,8,5,--,--,8,,4.5 
002372,電機工程學系,27,均,前,前,--,--,前,--,--
,,,--,5,3,--,--,5,,--
002382,光電工程學士學位學程,3,均,前,前,--,--,前,--,--
,,,--,18,18,--,--,16,,--
002392,華語文教學系應用華語文學組,18,均,均,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
002402,華語文教學系應用華語文學組(青年儲蓄帳戶組),1,均,均,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
002412,東亞學系,20,均,前,--,均,均,--,--,--
,,,4,5,--,3,--,--,,--
002422,企業管理學系,17,均,均,均,前,--,--,--,--
,,,5,3,--,--,--,--,,--
002432,設計學系產品設計組,10,均,均,--,均,--,--,--,國英數B
,,,--,--,--,--,--,--,,5 
002442,晨光招生(學習科學學士學位學程),3,後,均,均,--,--,--,--,--
,,,8,--,5,--,--,--,,--
002452,晨光招生(生命科學系),3,均,均,後,--,--,--,--,--
,,,--,--,15,--,--,7,,--
002462,晨光招生(光電工程學士學位學程),2,後,後,均,--,--,均,--,--
,,,--,--,20,--,--,10,,--
002472,晨光招生(企業管理學系),2,均,均,均,前,--,--,--,--
,,,15,10,--,--,--,--,,--
002482,晨光招生(表演藝術學士學位學程),2,均,底,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
002502,表演藝術學士學位學程,6,均,均,--,--,--,--,--,--
,,,6,6,--,--,--,--,,--
