校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
003012,中國文學系,26,均,均,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
003022,外國語文學系,20,均,前,--,--,均,--,A,--
,,,8,3,--,--,--,--,,--
003032,歷史學系,23,前,均,--,--,前,--,--,--
,,,6,6,--,--,3,--,,--
003042,台灣人文創新學士學位學程,7,均,均,--,--,均,--,--,--
,,,7,10,--,--,12,--,,--
003052,財務金融學系,26,均,前,均,--,--,--,--,國英數A社
,,,--,3,8,--,--,--,,10 
003062,企業管理學系,21,--,前,--,前,--,--,--,國英數B社
,,,--,3.5,--,3,--,--,,5 
003072,資訊管理學系,16,均,前,前,--,--,均,--,--
,,,10,10,3,--,--,10,,--
003082,會計學系,19,均,前,均,--,均,--,--,國英數A社
,,,--,3,5,--,--,--,,10 
003092,行銷學系,21,前,前,均,前,--,--,B,--
,,,3,5,--,--,--,--,,--
003102,應用經濟學系,18,均,均,均,--,--,--,--,國英數A
,,,--,3,7,--,--,--,,10 
003112,法律學系,16,均,均,--,均,前,--,--,--
,,,6,6,--,--,3,--,,--
003122,化學系,23,--,均,均,--,--,均,--,--
,,,--,10,5,--,--,3,,--
003132,物理學系一般物理組,16,--,均,均,--,--,均,--,--
,,,--,3,6,--,--,--,,--
003142,物理學系光電物理組,12,--,均,均,--,--,均,--,--
,,,--,3.5,6,--,--,--,,--
003152,應用數學系應用數學組,19,--,--,均,--,--,--,--,國英數A自
,,,--,3,6,--,--,5,,4 
003162,應用數學系數據科學與計算組,20,--,--,均,--,--,--,--,國英數A自
,,,--,3,6,--,--,5,,4 
003172,應用數學系數據科學與計算組(資安組),3,--,--,均,--,--,--,--,國英數A自
,,,--,3,6,--,--,--,,4 
003182,機械工程學系,46,--,均,均,--,--,均,--,--
,,,--,6.5,3,--,--,3,,--
003192,土木工程學系,45,--,均,均,--,--,均,--,英數A自
,,,--,--,6,--,--,6,,3 
003202,環境工程學系,15,--,均,均,--,--,均,--,--
,,,--,9,3,--,--,3,,--
003212,化學工程學系,10,--,均,均,--,--,均,--,--
,,,--,5,3.5,--,--,3.5,,--
003222,材料科學與工程學系,10,--,均,均,--,--,均,--,--
,,,--,5,3,--,--,3,,--
003232,智慧創意工程學士學位學程,8,--,均,均,--,--,均,--,--
,,,--,6,6,--,--,8,,--
003242,電機工程學系,25,--,--,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
003252,資訊工程學系,11,均,均,均,--,--,--,--,國英數A自
,,,--,10,4,--,--,10,,8 
003272,資訊工程學系(資安組),2,均,均,均,--,--,--,--,國英數A自
,,,--,10,5,--,--,10,,8 
003282,電機資訊學院學士班,16,--,均,均,--,--,均,--,--
,,,--,8,3,--,--,3,,--
003292,生物產業機電工程學系,23,--,均,均,--,--,均,--,--
,,,--,10,3,--,--,10,,--
003302,水土保持學系,28,--,均,均,--,--,均,--,國英數A自
,,,--,6,4,--,--,5,,3 
003312,食品暨應用生物科技學系,23,均,均,均,--,--,均,--,--
,,,10,3,4,--,--,3,,--
003322,農藝學系,19,均,均,均,均,--,均,--,國英自
,,,6,--,--,--,--,3,,8 
003332,園藝學系,16,均,均,--,均,--,均,B,--
,,,--,6,--,--,--,3,,--
003342,森林學系林學組,14,均,均,--,均,--,均,--,--
,,,--,--,--,--,--,3,,--
003352,森林學系木材科學組,14,均,均,--,均,--,均,--,--
,,,--,--,--,--,--,3.5,,--
003362,植物病理學系,21,均,均,--,--,--,均,--,國英數A自
,,,--,8,--,--,--,6,,3 
003372,昆蟲學系,23,均,均,均,均,--,前,--,--
,,,5,3,--,--,--,3,,--
003382,動物科學系,17,均,均,均,--,--,均,B,--
,,,6,6,6,--,--,3,,--
003392,土壤環境科學系,24,--,均,均,均,--,均,--,--
,,,--,5,--,--,--,3,,--
003402,生物科技學士學位學程,15,均,均,均,--,--,前,--,國英數A自
,,,--,10,--,--,--,7,,3 
003412,景觀與遊憩學士學位學程,9,均,均,均,均,--,--,--,國英
,,,10,7,--,--,--,--,,5.5 
003422,國際農企業學士學位學程,6,--,前,均,--,--,均,--,--
,,,--,15,--,--,--,8,,--
003432,生命科學系,46,--,均,--,--,--,前,--,--
,,,--,8,--,--,--,3,,--
003442,獸醫學系,35,均,前,均,--,--,均,B,英數A自
,,,--,10,--,--,--,--,,3 
003452,興翼招生A組(商學管理),10,均,均,均,均,--,--,--,--
,,,5,5,--,--,--,--,,--
003462,興翼招生B組(文史法律),6,均,均,--,--,均,--,--,--
,,,8,8,--,--,8,--,,--
003472,興翼招生C組(化學數學),4,--,均,均,--,--,均,--,--
,,,--,10,10,--,--,10,,--
003482,興翼招生D組(化材電資暨工程),18,--,均,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
003492,興翼招生E組(生物資源暨農業科技),10,--,均,均,均,--,均,--,--
,,,--,5,--,--,--,5,,--
003502,興翼招生F組(生物科技暨獸醫),9,--,均,均,--,--,均,--,--
,,,--,5.5,5.5,--,--,5.5,,--
