校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
004012,中國文學系,14,頂,均,--,--,前,--,--,--
,,,3.5,10,--,--,10,--,,--
004022,外國語文學系,15,前,頂,--,均,均,--,A,國英社
,,,5,3,--,--,6,--,,8 
004032,歷史學系,15,前,前,--,均,前,--,--,--
,,,5,4,--,--,3,--,,--
004042,台灣文學系,20,頂,前,--,均,前,--,--,--
,,,2.5,8,--,--,10,--,,--
004052,數學系,28,後,均,前,--,--,均,--,國英數A自
,,,8,6,3,--,--,6,,4 
004062,物理學系,23,均,均,均,--,--,均,--,--
,,,--,6,3,--,--,3,,--
004072,化學系,28,--,前,前,--,--,前,--,--
,,,--,--,--,--,--,3,,--
004082,地球科學系,26,--,均,均,--,--,均,--,--
,,,--,--,3,--,--,5,,--
004092,光電科學與工程學系,16,均,均,前,--,--,前,--,國英數A自
,,,--,--,3,--,--,3,,10 
004102,機械工程學系,69,均,均,前,--,--,前,--,國英數A自
,,,--,5,5,--,--,5,,3 
004112,機械工程學系(普渡雙聯組),11,均,頂,前,--,--,前,A,國英數A自
,,,--,5,5,--,--,5,,3 
004122,化學工程學系,51,均,前,前,--,--,前,--,--
,,,5,5,3,--,--,3,,--
004132,材料科學及工程學系,40,--,前,前,--,--,前,--,國英數A自
,,,--,--,--,--,--,--,,3 
004142,資源工程學系,24,均,均,均,--,--,均,--,國英數A自
,,,10,8,4,--,--,6,,3 
004152,土木工程學系,46,均,均,均,--,--,均,--,國英數A自
,,,6,6,4,--,--,4,,3 
004162,水利及海洋工程學系,26,均,均,前,--,--,前,--,--
,,,6,8,3,--,--,4,,--
004172,工程科學系,26,--,前,前,--,--,前,--,國英數A自
,,,--,--,5,--,--,3,,12 
004182,系統及船舶機電工程學系,29,均,前,前,--,--,前,--,國英自
,,,--,--,5,--,--,5,,3 
004192,航空太空工程學系,24,--,前,前,--,--,前,--,國英數A自
,,,--,10,5,--,--,5,,3 
004202,能源工程國際學士學位學程,20,--,前,前,--,--,前,--,國英數A自
,,,--,10,5,--,--,5,,3 
004212,環境工程學系,25,均,前,前,--,--,前,--,國英數A自
,,,3,5,4,--,--,4,,6 
004222,測量及空間資訊學系,28,均,均,均,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3 
004232,生物醫學工程學系,17,--,前,前,--,--,前,--,英數A自
,,,--,--,--,--,--,--,,3 
004242,工業與資訊管理學系,27,前,前,前,--,--,--,--,國英數A
,,,--,8,5,--,--,--,,3 
004262,交通管理科學系,24,均,前,前,--,--,均,--,--
,,,5,2.5,3,--,--,5,,--
004272,統計學系,18,均,前,前,--,--,--,--,--
