校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
005012,中國文學系,100,後,--,--,--,後,--,--,--
,,,3,--,--,--,4,--,,--
005022,歷史學系,27,底,底,--,--,底,--,--,--
,,,5,--,--,--,3,--,,--
005032,哲學系,35,後,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
005042,政治學系,67,均,後,後,後,後,--,--,英社
,,,4,--,--,--,--,--,,3 
005052,社會學系,59,--,後,--,--,均,--,--,--
,,,--,--,--,--,3,--,,--
005062,社會工作學系,57,--,--,--,--,後,--,--,國英數B社
,,,7,5,--,--,--,--,,3 
005072,英文學系,84,--,前,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
005082,日本語文學系,80,均,--,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
005092,德國文化學系,24,--,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
005102,數學系,27,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
005112,物理學系,31,--,--,底,--,--,--,--,--
,,,--,5,3,--,--,--,,--
005122,化學系,24,--,--,後,--,--,後,--,--
,,,--,--,--,--,--,3,,--
005132,微生物學系,33,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
005142,心理學系,33,後,後,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
005152,法律學系,120,前,前,均,均,均,--,B,--
,,,5,3,--,--,8,--,,--
005162,經濟學系,86,--,後,--,均,--,--,--,--
,,,--,5,--,3,--,--,,--
005172,會計學系,139,均,均,--,均,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
005182,企業管理學系,118,--,均,--,後,--,--,--,--
,,,--,3,--,5,--,--,,--
005192,國際經營與貿易學系,56,均,均,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
005202,財務工程與精算數學系,109,--,後,均,均,--,--,--,--
,,,7,3,--,--,--,--,,--
005212,資訊管理學系,71,--,後,--,均,--,--,--,--
,,,--,6,--,3,--,--,,--
005232,資料科學系,59,--,後,--,後,--,--,--,英數B
,,,--,--,--,--,--,--,,3 
