校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
006012,中國文學系,37,前,前,--,--,前,--,--,--
,,,3,5,--,--,6,--,,--
006022,歷史學系,20,前,前,--,--,前,--,--,--
,,,6,5,--,--,3,--,,--
006032,哲學系,24,前,前,--,--,--,--,--,國英社
,,,4,3,--,--,--,--,,5 
006042,教育學系,23,均,前,--,--,--,--,B,國英數B社
,,,--,3,--,--,--,--,,4 
006052,政治學系,19,--,均,後,均,均,--,--,國英社
,,,--,8,--,--,3,--,,10 
006062,社會學系,19,均,均,均,均,均,--,--,--
,,,8,10,--,--,3,--,,--
006072,財政學系,34,前,前,前,--,--,--,--,國英數A
,,,5,4,3,--,--,--,,6 
006082,公共行政學系,16,前,前,均,前,前,--,--,--
,,,4,3,--,--,5,--,,--
006092,地政學系土地資源規劃組,22,前,前,前,--,前,--,--,國英數A社
,,,4,3.5,3.5,--,--,--,,3 
006102,地政學系土地管理組,21,前,前,前,--,前,--,--,國英數A社
,,,4,4,3.5,--,--,--,,3 
006112,地政學系土地測量與資訊組,19,前,前,前,--,--,前,--,國英數A自
,,,4,3.5,3.5,--,--,--,,3 
006122,經濟學系,42,--,前,前,--,--,--,--,數A社
,,,--,3,--,--,--,--,,6 
006132,民族學系,17,前,前,--,--,前,--,--,--
,,,6,6,--,--,3,--,,--
006142,外交學系,22,前,頂,均,均,前,--,--,--
,,,4,3,--,--,5,--,,--
006152,國際經營與貿易學系,30,前,前,前,--,--,--,--,國英數A社
,,,5,4,3,--,--,--,,6 
006162,金融學系,22,前,前,前,--,--,--,--,國英數A
,,,4,3,3,--,--,--,,6 
006172,會計學系,35,前,前,前,--,--,--,--,國英數A
,,,--,2.5,2.5,--,--,--,,5 
006182,統計學系(甲組),13,前,前,頂,--,--,--,--,國英數A社
,,,--,5,6,--,--,--,,3.5 
006192,統計學系(乙組),6,前,前,頂,--,--,--,--,國英數A自
,,,--,5,6,--,--,--,,3.5 
006202,企業管理學系,35,前,前,前,--,--,--,--,--
,,,4,3,3,--,4,--,,--
006212,資訊管理學系,25,前,前,前,--,--,--,--,--
,,,5,4,3,--,--,--,,--
006222,財務管理學系,22,前,前,前,--,--,--,--,國英數A
,,,3,4,4,--,--,--,,6 
006232,風險管理與保險學系,16,前,前,前,--,--,--,--,國英數A社
,,,3,3,3,--,--,--,,4 
006242,傳播學院大一大二不分系(社會組),56,前,前,--,--,--,--,--,國英數B社
,,,3.5,3.5,--,--,--,--,,3 
006252,傳播學院大一大二不分系(自然組),11,--,前,前,--,--,--,--,國英數A自
,,,--,3.5,3.5,--,--,--,,3 
006262,英國語文學系,24,前,頂,--,--,--,--,A,國英數B社
,,,--,5,--,--,--,--,,3 
006272,阿拉伯語文學系,18,前,頂,--,--,--,--,--,--
,,,4,3,--,--,5,--,,--
006282,斯拉夫語文學系,21,前,前,--,--,前,--,--,--
,,,4,3,--,--,5,--,,--
006292,日本語文學系,13,前,前,--,--,前,--,--,--
,,,5,3.5,--,--,4,--,,--
006302,韓國語文學系,11,前,前,--,--,前,--,--,--
,,,3,5,--,--,5,--,,--
006312,土耳其語文學系,11,前,前,--,--,均,--,--,--
,,,5,3.5,--,--,6,--,,--
006322,歐洲語文學系法文組,8,前,前,--,--,前,--,--,--
,,,7,5,--,--,9,--,,--
006332,歐洲語文學系德文組,9,前,前,--,--,前,--,--,--
,,,7,5,--,--,9,--,,--
006342,歐洲語文學系西班牙文組,9,前,前,--,--,前,--,--,--
,,,7,5,--,--,9,--,,--
006352,東南亞語文學系越文組,7,前,前,--,--,前,--,--,--
,,,3.5,3.5,--,--,6,--,,--
006362,東南亞語文學系泰文組,7,前,前,--,--,前,--,--,--
,,,3.5,3.5,--,--,6,--,,--
006372,東南亞語文學系印尼文組,6,前,前,--,--,前,--,--,--
,,,3.5,3.5,--,--,6,--,,--
006382,法律學系,68,均,前,--,均,前,--,--,國英數B社
,,,5,3.5,--,--,3.5,--,,2 
006392,應用數學系,16,--,均,前,--,--,--,--,--
,,,--,--,3,--,--,--,,--
006402,心理學系,13,均,均,均,--,--,均,--,--
,,,6,5,3.5,--,--,--,,--
006412,資訊科學系,8,--,均,前,--,--,均,--,國英數A自
,,,--,--,5,--,--,--,,6 
006422,資訊科學系(人工智慧組),3,--,前,前,--,--,--,--,國英數A自
,,,--,--,10,--,--,--,,11 
006442,資訊科學系(資安組),4,--,均,前,--,--,--,--,國英數A自
,,,--,--,10,--,--,--,,11 
006452,創新國際學院學士班,12,均,頂,--,均,前,--,A,--
,,,--,--,--,4,4,--,,--
006462,政星招生(甲組),29,均,均,--,--,均,--,--,--
,,,3,3,--,--,3,--,,--
006472,政星招生(乙組),23,均,均,均,--,--,--,--,--
,,,3,3,3,--,--,--,,--
