校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
007012,醫學系,74,前,前,前,--,--,前,--,--
,,,9,3,8,--,--,3,,--
007022,運動醫學系,26,--,均,--,--,--,--,--,英自
,,,--,--,--,--,--,--,,3 
007032,呼吸治療學系,23,均,均,後,後,--,均,--,--
,,,10,8,--,--,--,3,,--
007042,牙醫學系,46,前,前,前,--,--,前,--,--
,,,6,6,6,--,--,3,,--
007052,口腔衛生學系,22,均,後,--,--,--,均,--,--
,,,7,3,--,--,--,10,,--
007062,藥學系,74,均,均,均,--,--,前,--,--
,,,--,6,--,--,--,3,,--
007072,香粧品學系,41,--,後,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,--,,3 
007082,護理學系,39,--,後,後,--,--,後,--,--
,,,--,8,--,--,--,3,,--
007092,公共衛生學系,26,--,均,均,--,--,--,--,--
,,,--,10,3,--,--,--,,--
007102,醫學檢驗生物技術學系,22,--,均,--,--,--,均,--,--
,,,--,3,--,--,--,3,,--
007112,醫學影像暨放射科學系,21,--,均,均,--,--,後,--,--
,,,--,3,4,--,--,6,,--
007122,職能治療學系,21,均,均,--,--,--,均,--,--
,,,3,3,--,--,--,--,,--
007132,物理治療學系,20,--,均,均,--,--,均,--,--
,,,--,8,10,--,--,3,,--
007142,醫務管理暨醫療資訊學系,24,底,底,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,3 
007162,醫藥暨應用化學系應用化學組,25,--,--,--,--,--,均,--,--
,,,--,5,--,--,--,3,,--
007172,醫藥暨應用化學系醫藥化學組,24,--,--,--,--,--,均,--,--
,,,--,5,--,--,--,3,,--
007182,生物醫學暨環境生物學系,23,後,均,後,--,--,均,--,--
,,,--,8,--,--,--,3,,--
007192,生物科技學系,20,--,後,--,--,--,後,--,--
,,,--,7,--,--,--,3,,--
007202,生命科學院學士班,7,--,底,--,--,--,均,--,--
,,,--,8,--,--,--,3,,--
007212,心理學系,26,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
007222,醫學社會學與社會工作學系,37,均,後,--,--,--,--,--,--
,,,10,3,--,--,--,--,,--
007232,薪火招生A1組(醫學系),1,前,前,前,--,--,前,--,--
,,,12,12,9,--,--,6,,--
007242,薪火招生A2組(牙醫學系),1,均,前,前,--,--,前,--,--
,,,--,12,9,--,--,6,,--
007252,薪火招生A3組(藥學系),1,均,前,均,--,--,前,--,--
,,,--,12,9,--,--,6,,--
007262,薪火招生B組(醫事證照類),7,均,--,--,--,--,均,--,--
,,,3,--,--,--,--,3,,--
007272,薪火招生C組(運醫、醫化與香粧品學系),8,--,--,--,--,--,均,--,--
,,,3,--,--,--,--,3,,--
007282,薪火招生D組(人文社會科學類),4,--,均,--,--,--,--,--,--
,,,3,2,--,--,--,--,,--
007292,薪火招生E組(生命科學類),4,--,--,--,--,--,後,--,--
,,,3,--,--,--,--,2,,--
007302,薪火招生F組(口衛、公衛與醫管資學系),4,--,--,後,均,--,後,--,--
,,,3,--,--,--,--,--,,--
007312,醫學系(公費生),8,前,前,前,--,--,前,--,--
,,,9,3,8,--,--,3,,--
