校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
008012,應用數學系,70,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
008022,物理學系物理組,31,--,--,後,--,--,後,--,--
,,,--,--,3,--,--,6,,--
008032,物理學系光電與材料科學組,34,--,--,後,--,--,後,--,--
,,,--,--,3,--,--,6,,--
008042,化學系化學組,36,--,--,後,--,--,後,--,--
,,,--,6,6,--,--,3,,--
008052,化學系材料化學組,35,--,--,後,--,--,後,--,--
,,,--,6,6,--,--,3,,--
008062,心理學系,73,--,後,底,--,--,--,--,國英數A自
,,,--,--,3,--,--,--,,4 
008072,生物科技學系,67,--,--,--,--,--,後,--,--
,,,--,3,--,--,--,6,,--
008082,化學工程學系綠能製程組,35,--,後,--,--,--,後,--,英數A自
,,,--,--,--,--,--,--,,3 
008092,化學工程學系生化工程組,35,--,後,--,--,--,後,--,英數A自
,,,--,--,--,--,--,--,,3 
008102,化學工程學系材料工程組,31,--,後,--,--,--,後,--,英數A自
,,,--,--,--,--,--,--,,3 
008112,土木工程學系,107,--,--,後,--,--,--,--,--
,,,3,--,3,--,--,--,,--
008122,機械工程學系,106,--,--,--,--,--,後,--,國數A自
,,,--,--,4,--,--,--,,3 
008132,生物醫學工程學系,76,--,--,後,--,--,後,--,--
,,,--,--,5,--,--,3,,--
008142,環境工程學系,37,--,--,--,--,--,後,--,國英自
,,,--,--,--,--,--,5,,3 
008152,電機資訊學院學士班,29,--,後,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
008162,工業與系統工程學系工程組,60,後,--,--,--,--,--,--,--
,,,3,--,3,--,--,--,,--
008172,工業與系統工程學系管理組,29,後,--,底,底,--,--,--,--
,,,3,3,--,--,--,--,,--
008182,電子工程學系,95,--,--,--,--,--,後,--,--
,,,--,3,--,--,--,--,,--
008192,資訊工程學系,62,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
008202,電機工程學系,72,後,--,--,--,--,--,--,--
,,,--,3,3,--,--,--,,--
008212,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,15,--,後,後,--,--,--,--,--
,,,--,3,3,--,--,--,,--
008222,電機資訊學院智慧運算與大數據學士班,31,--,--,後,--,--,--,--,--
,,,--,3,3,--,--,--,,--
008232,企業管理學系服務業管理組,31,後,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
008242,企業管理學系高科技業管理組,33,後,--,--,--,--,--,--,--
,,,3,--,--,3,--,--,,--
008252,企業管理學系工商管理組,58,後,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
008262,國際經營與貿易學系,48,--,--,--,--,後,--,--,--
,,,5,3,--,7,5,--,,--
008272,會計學系,83,--,後,--,--,--,--,--,--
,,,--,--,--,3,3,--,,--
008282,資訊管理學系,48,--,--,底,底,--,--,--,--
,,,3,--,--,--,--,--,,--
008292,財務金融學系,66,後,--,--,--,--,--,--,--
,,,5,--,--,--,3,--,,--
008302,中原大學與美國天普大學商學管理雙學士學位學程,12,後,後,--,--,--,--,--,--
,,,5,4,--,--,--,--,,--
008312,財經法律學系財貿法組,27,後,後,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
008322,財經法律學系科技法組,34,後,後,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
008332,建築學系,33,--,後,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
008342,室內設計學系,34,後,後,--,--,--,--,--,國英社
,,,4,--,--,--,--,--,,3 
008352,商業設計學系商業設計組,27,--,後,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
008362,商業設計學系產品設計組乙類,6,--,--,--,--,--,後,--,國英自
,,,--,--,--,--,--,--,,4 
008372,地景建築學系,35,--,後,後,後,--,--,--,--
,,,3,--,--,--,--,--,,--
008382,英國牛津布魯克斯大學建築及都市設計雙學士學位學程,17,後,後,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
008392,特殊教育學系,29,後,--,--,--,--,--,--,--
,,,3,4,--,4,--,--,,--
008402,應用外國語文學系,57,--,後,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
008412,應用華語文學系,74,後,--,--,--,--,--,--,--
,,,3,4,--,--,--,--,,--
