校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
009012,中國文學系,58,後,--,--,--,--,--,--,國社
,,,5,--,--,--,--,--,,3 
009022,外國語文學系,52,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
009032,歷史學系,36,--,--,--,--,均,--,--,--
,,,--,--,--,--,3,--,,--
009042,日本語言文化學系,58,--,後,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
009052,哲學系,34,--,底,--,--,--,--,--,--
,,,3,--,--,--,5,--,,--
009062,應用物理學系,34,--,底,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
009072,化學系化學組,26,--,後,--,--,--,後,--,英自
,,,--,--,--,--,--,--,,3 
009082,化學系化學生物組,28,--,後,--,--,--,後,--,英自
,,,--,--,--,--,--,--,,3 
009092,生命科學系生物醫學組,28,--,--,--,--,--,後,--,英自
,,,--,--,--,--,--,--,,3 
009102,生命科學系生態暨生物多樣性組,28,--,--,--,--,--,後,--,國英自
,,,--,--,--,--,--,--,,3 
009112,智慧計算暨應用數學系(A組),14,--,--,後,--,--,--,--,國數A
,,,--,--,3.5,--,--,--,,8 
009122,智慧計算暨應用數學系(B組),9,--,--,後,--,--,--,--,英數A
,,,--,--,5,--,--,--,,8 
009132,化學工程與材料工程學系,48,--,--,底,--,--,底,--,--
,,,--,--,3,--,--,3,,--
009142,工業工程與經營資訊學系(智慧設計與生產),25,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
009152,工業工程與經營資訊學系(智慧經營與管理),32,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
009162,環境科學與工程學系,50,--,--,--,--,--,後,--,國數A自
,,,--,--,--,--,--,5,,3 
009172,資訊工程學系,61,--,--,後,--,--,--,--,英數A自
,,,--,--,--,--,--,--,,3 
009192,電機工程學系,38,--,--,底,底,--,--,--,--
,,,3,--,--,--,--,--,,--
009202,企業管理學系,88,--,--,--,後,--,--,--,--
,,,3,6,--,--,--,--,,--
009212,國際經營與貿易學系,60,--,後,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
009222,會計學系,64,後,--,--,--,後,--,--,--
,,,6,--,--,--,3,--,,--
009232,財務金融學系,65,--,後,底,底,--,--,--,--
,,,--,3,--,--,--,--,,--
009242,統計學系(巨量資料管理組),31,--,--,後,--,--,--,--,國數A
,,,--,--,5,--,--,--,,3 
009252,統計學系(決策管理組),31,--,--,--,後,--,--,--,國數B
,,,--,--,--,5,--,--,,3 
009262,資訊管理學系,33,--,後,--,後,--,--,--,--
,,,--,6,--,3,--,--,,--
009272,經濟學系,76,--,底,--,--,--,--,--,--
,,,--,--,--,3,--,--,,--
009282,政治學系,48,--,--,--,--,底,--,--,國英
,,,6,--,--,--,6,--,,3 
009292,行政管理暨政策學系,42,--,--,--,--,後,--,--,國社
,,,--,--,--,--,--,--,,3 
009302,社會學系,49,--,--,--,--,底,--,--,--
,,,3,--,--,--,5,--,,--
009312,社會工作學系,67,--,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
009322,畜產與生物科技學系,65,--,--,--,--,--,後,--,國英自
,,,--,--,--,--,--,--,,3 
009332,食品科學系,58,--,--,底,底,--,--,--,--
,,,--,6,--,--,--,3,,--
009342,餐旅管理學系,31,--,底,--,--,--,--,--,英數B社
,,,--,--,--,--,--,--,,3 
009352,高齡健康與運動科學學士學位學程,25,底,底,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
009362,建築學系,30,--,--,均,均,--,--,--,國英
,,,--,--,--,--,--,--,,3 
009372,工業設計學系(A組),10,--,均,--,--,--,--,--,--
,,,5,5,--,--,--,5,,--
009382,工業設計學系(B組),10,--,均,--,--,--,--,--,--
,,,5,5,--,--,5,--,,--
009392,景觀學系,29,後,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
009402,法律學系,60,均,均,後,後,--,--,--,--
,,,3,4,--,--,--,--,,--
009412,國際學院國際經營管理學位學程,30,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
009422,永續科學與管理學士學位學程,12,--,後,--,--,--,--,--,--
,,,--,4,--,--,--,--,,--
009442,音樂學系(音樂治療組),2,底,底,--,--,--,--,--,--
,,,15,15,--,--,--,--,,--
