校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
011012,中國文學系甲組(一般組),18,頂,前,--,均,前,--,--,--
,,,3,6,--,--,8,--,,--
011022,中國文學系乙組(華語文教學組),7,頂,前,--,均,均,--,--,--
,,,3,6,--,12,8,--,,--
011032,外國語文學系,24,前,前,--,均,均,--,A,--
,,,3,3,--,--,--,--,,--
011042,人文社會學院學士班,50,前,前,--,均,前,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
011052,教育與學習科技學系,25,前,前,--,均,前,--,--,--
,,,3,5,--,--,6,--,,--
011062,幼兒教育學系,24,前,前,--,--,前,--,--,--
,,,4,3,--,--,5,--,,--
011072,教育心理與諮商學系,14,均,前,--,均,--,--,--,國英數B
,,,--,3.5,--,--,--,--,,6 
011082,特殊教育學系,20,前,前,--,--,前,--,--,--
,,,3,3,--,--,3,--,,--
011092,英語教學系,23,前,頂,--,均,均,--,A,--
,,,5,3,--,5,--,--,,--
011102,竹師教育學院學士班甲組(雙專長組),16,均,前,均,均,--,--,--,--
,,,5,3,--,--,--,--,,--
011112,竹師教育學院學士班乙組(永續發展教育組),16,前,前,--,均,前,--,--,--
,,,5,4,--,3,4,--,,--
011122,經濟學系,44,前,前,前,--,--,--,B,--
,,,3,3,3,--,--,--,,--
011132,科技管理學院學士班,22,前,前,前,--,--,--,--,--
,,,3,3,3,--,--,--,,--
011142,計量財務金融學系,29,前,前,前,--,--,--,--,--
,,,3,3,3,--,--,--,,--
011152,數學系甲組(數學組),17,--,均,前,--,--,前,--,英數A自
,,,--,--,5,--,--,5,,3 
011162,數學系乙組(應用數學組),17,--,均,前,--,--,均,--,英數A自
,,,--,5,5,--,--,--,,3 
011172,物理學系物理組(甲組一般組),23,均,前,前,--,--,前,--,--
,,,--,--,3,--,--,5,,--
011182,物理學系物理組(乙組天文物理組),5,均,前,前,--,--,--,--,--
,,,--,--,5,--,--,10,,--
011192,物理學系光電物理組,10,均,前,前,--,--,--,--,--
,,,--,--,5,--,--,10,,--
011202,化學系,26,--,前,前,--,--,前,--,--
,,,--,10,3,--,--,7,,--
011212,理學院學士班,21,--,均,--,--,--,--,--,數A自
,,,--,10,--,--,--,--,,3 
011222,生醫工程與環境科學系,25,--,前,前,--,--,前,--,--
,,,--,3,3,--,--,3,,--
011232,工程與系統科學系甲組(低碳綠能組),39,均,前,前,--,--,前,--,國英數A自
,,,--,--,--,--,--,--,,3 
011242,工程與系統科學系乙組(智慧奈米系統組),38,--,前,前,--,--,前,--,國英數A自
,,,--,--,--,--,--,--,,3 
011252,原子科學院學士班,16,前,前,前,--,--,前,--,--
,,,3,3,3,--,--,3,,--
011262,化學工程學系,30,前,前,前,--,--,前,--,國數A自
,,,--,5,--,--,--,--,,3 
011272,動力機械工程學系,68,均,前,前,--,--,前,--,國英數A自
,,,--,7,7,--,--,7,,3 
011282,材料科學工程學系,55,--,頂,前,--,--,前,--,--
,,,--,3,5,--,--,4,,--
011292,工業工程與工程管理學系,40,均,前,前,--,--,前,--,--
,,,5,3,3,--,--,5,,--
011302,工學院學士班,32,前,頂,前,--,--,頂,--,國英數A自
,,,--,--,--,--,--,--,,3 
011312,電機工程學系甲組,5,--,頂,頂,--,--,頂,--,--
,,,--,12,10,--,--,12,,--
011322,電機工程學系乙組,48,--,均,頂,--,--,頂,--,--
,,,--,3,3,--,--,10,,--
011332,資訊工程學系甲組(電子資訊組),5,前,前,前,--,--,前,--,--
,,,10,10,10,--,--,10,,--
011342,資訊工程學系乙組(資訊工程組),50,均,前,前,--,--,前,--,--
,,,5,3,3,--,--,5,,--
011352,資訊工程學系丙組(人工智慧組),5,--,前,前,--,--,前,--,--
,,,--,10,10,--,--,10,,--
011372,電機資訊學院學士班,14,--,前,前,--,--,前,--,--
,,,--,10,10,--,--,3,,--
011382,生命科學系,29,--,前,前,--,--,前,--,--
,,,--,5,3,--,--,--,,--
011392,醫學科學系,18,均,前,均,--,--,前,--,--
,,,--,5,10,--,--,3,,--
011402,生命科學暨醫學院學士班,20,前,前,前,--,--,前,--,國英數A自
,,,--,--,--,--,--,--,,3 
011412,清華學院學士班甲組(不分系招生–創新設計),9,均,前,均,--,--,均,--,英數A
,,,--,5,--,--,--,--,,6 
011422,清華學院學士班乙組(青年儲蓄帳戶組),2,前,前,--,--,--,前,--,--
,,,--,--,--,--,--,--,,--
011432,旭日招生甲組(人文、教育),8,均,均,--,--,均,--,--,國英社
,,,--,--,--,--,--,--,,3 
011442,旭日招生乙組(科管),4,均,均,均,均,--,--,--,國英
,,,--,--,--,--,--,--,,4.5 
011452,旭日招生丙組(理工、原科、生科),18,--,均,前,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
011462,旭日招生丁組(電資院),6,--,前,前,--,--,前,--,英數A自
,,,--,--,--,--,--,--,,3 
011472,運動科學系,12,均,均,均,--,--,--,--,--
,,,6,4,4,--,--,--,,--
011482,藝術學院學士班(科技藝術組),21,均,前,均,均,--,--,--,--
,,,6,3,--,--,--,--,,--
011492,藝術學院學士班(音樂組),5,均,前,均,均,--,--,--,--
,,,10,6,--,--,--,--,,--
011502,藝術學院學士班(藝設跨域組),6,均,前,均,均,--,--,--,--
,,,10,5,--,--,--,--,,--
011532,藝術與設計學系設計組,20,均,前,--,--,--,--,--,--
,,,6,4.5,--,--,--,--,,--
