校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
012012,牙醫學系,31,前,前,前,--,--,前,--,--
,,,10,3,7,--,--,5,,--
012022,醫學系,85,前,--,頂,--,前,頂,A,國數A社自
,,,5,--,4,--,5,4,,3 
012032,中醫學系甲組,39,前,前,頂,--,--,頂,--,--
,,,6,5,5,--,--,3,,--
012042,中醫學系乙組,41,前,前,頂,--,--,頂,--,--
,,,6,5,5,--,--,3,,--
012052,藥學系,152,--,均,均,--,--,均,B,--
,,,--,--,3,--,--,5,,--
012062,護理學系,47,後,後,--,--,--,後,--,國英自
,,,3,--,--,--,--,3,,10 
012072,醫學檢驗生物技術學系,24,--,後,--,--,--,後,--,--
,,,--,15,--,--,--,3,,--
012082,營養學系,41,--,後,--,--,--,後,--,--
,,,--,8,--,--,--,3,,--
012092,物理治療學系,27,--,後,--,--,--,後,--,--
,,,--,8,--,--,--,3,,--
012102,生物科技學系,29,--,後,--,--,--,後,--,--
,,,--,3,--,--,--,10,,--
012112,運動醫學系,21,--,後,--,--,--,後,--,--
,,,--,15,--,--,--,3,,--
012122,中國藥學暨中藥資源學系,10,後,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
012132,藥用化妝品學系,26,--,後,--,--,--,後,--,--
,,,--,10,--,--,--,3,,--
012142,生物醫學影像暨放射科學學系,33,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
012152,公共衛生學院大一不分系,87,後,後,--,--,--,--,--,--
,,,3,12,--,--,--,--,,--
012162,生物醫學工程學系,26,--,後,--,--,--,後,--,--
,,,--,3,--,--,--,12,,--
012172,醫療資訊學系,28,--,後,--,--,--,後,--,--
,,,--,12,--,--,--,3,,--
