校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
013012,電機工程學系甲組(電資國際組),8,--,頂,頂,--,--,頂,--,--
,,,--,6,6,--,--,6,,--
013022,電機工程學系乙組(電機工程組),113,--,前,前,--,--,前,--,--
,,,--,5,5,--,--,3,,--
013032,電機工程學系丙組(醫學電資組),8,--,頂,前,--,--,頂,--,--
,,,--,6,8,--,--,6,,--
013042,光電工程學系,19,--,前,前,--,--,前,--,--
,,,--,3,5,--,--,5,,--
013052,資訊工程學系(甲組),5,均,前,頂,--,--,頂,--,--
,,,--,20,10,--,--,20,,--
013062,資訊工程學系(乙組),95,均,前,頂,--,--,前,--,--
,,,--,5,3,--,--,5,,--
013092,半導體工程學系固態電子組,25,--,前,前,--,--,前,--,英數A自
,,,--,12,10,--,--,12,,3 
013102,半導體工程學系奈米科學組,17,--,前,前,--,--,前,--,英數A自
,,,--,12,10,--,--,12,,3 
013112,材料科學與工程學系,25,--,前,--,--,--,前,--,國英自
,,,--,3,--,--,--,3,,5 
013122,機械工程學系,55,均,均,前,--,--,前,--,國英數A自
,,,--,8,8,--,--,8,,3 
013132,土木工程學系甲組(科技暨基礎建設永續發展組),16,均,均,前,--,--,均,--,--
,,,--,3,5,--,--,3,,--
013142,土木工程學系乙組(科技暨基礎建設永續發展國際組),33,均,前,前,--,--,均,B,--
,,,--,4,5,--,--,3,,--
013152,理學院科學學士學位學程(乙組),4,均,前,前,--,--,均,--,--
,,,--,5,5,--,--,5,,--
013162,理學院科學學士學位學程(丙組),4,均,前,前,--,--,前,--,--
,,,--,5,5,--,--,5,,--
013172,電子物理學系光電與奈米科學組,14,前,前,前,--,--,前,--,--
,,,--,--,3.5,--,--,3.5,,--
013182,電子物理學系電子物理組,12,均,前,前,--,--,前,--,--
,,,--,--,6,--,--,4,,--
013192,應用化學系,22,均,前,前,--,--,前,--,--
,,,--,3,3,--,--,3,,--
013202,應用數學系,27,--,均,頂,--,--,均,--,--
,,,--,8,3,--,--,8,,--
013212,生物科技學系(甲組),34,--,--,--,--,--,前,--,--
,,,--,5,4,--,--,3,,--
013222,生物科技學系(乙組),12,--,--,前,--,--,--,--,英數A自
,,,--,--,3,--,--,4,,5 
013232,資訊管理與財務金融學系資訊管理組,12,--,前,前,--,--,前,--,--
,,,--,8,4,--,--,--,,--
013242,資訊管理與財務金融學系財務金融組,12,前,前,--,--,--,--,--,--
,,,--,4,4,--,--,--,,--
013252,管理科學系,22,前,前,前,--,--,--,--,--
,,,3,3,3,--,--,--,,--
013262,運輸與物流管理學系,27,均,前,前,--,--,均,--,--
,,,3,3,3,--,--,3,,--
013272,工業工程與管理學系,25,--,均,前,--,--,均,--,--
,,,--,5,3,--,--,5,,--
013282,外國語文學系,27,前,頂,--,均,均,--,--,--
,,,--,3,--,--,--,--,,--
013292,傳播與科技學系,19,前,前,--,均,前,--,--,--
,,,3,3,--,--,3,--,,--
013302,人文社會學系,20,均,前,--,--,均,--,--,--
,,,5,3,--,--,4,--,,--
013312,屯蒙-電機資訊組,27,均,均,前,--,--,前,--,--
,,,--,--,3,--,--,3,,--
013322,屯蒙-工程組,12,--,均,前,--,--,前,--,--
,,,--,3.5,3.5,--,--,--,,--
013332,屯蒙-理學生物科技組,13,--,均,均,--,--,均,--,--
,,,--,3.5,3.5,--,--,3.5,,--
013342,屯蒙-管理組,9,均,均,均,--,--,--,--,--
,,,5.5,5.5,5.5,--,--,--,,--
013352,屯蒙-人文社會組,6,均,均,--,--,均,--,--,--
,,,4,4,--,--,4,--,,--
013362,屯蒙-醫學組,2,--,前,前,--,--,前,--,英數A自
,,,--,--,--,--,--,5,,7 
013372,屯蒙-牙醫組,2,--,前,前,--,--,前,--,英數A自
,,,--,--,--,--,--,5,,7 
013382,屯蒙-醫事證照組,5,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,5,,7 
013392,屯蒙-生醫科學組,3,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,5,,7 
013402,醫學系醫師組,41,頂,頂,頂,--,--,頂,--,國英數A自
,,,4.5,3,3,--,--,3,,4 
013412,醫學系醫師科學家組,10,--,頂,前,--,--,頂,--,國英數A自
,,,--,3,3,--,--,3,,3.5 
013422,醫學系醫師工程師組,10,前,頂,頂,--,--,頂,--,國英數A自
,,,4,4,3,--,--,3,,3.5 
013432,醫學系(公費生),10,頂,頂,頂,--,--,頂,--,國英數A自
,,,5,3.5,3,--,--,3,,4 
013442,牙醫學系,18,頂,頂,頂,--,--,頂,A,國英數A自
,,,--,4,3.5,--,--,3.5,,3 
013452,醫學生物技術暨檢驗學系(生技及檢驗醫學組),13,--,均,後,--,--,均,--,國英自
,,,8,--,--,--,--,--,,3.5 
013462,醫學生物技術暨檢驗學系(資訊及精準醫學組),6,--,均,均,--,--,--,--,英數A自
,,,--,8,8,--,--,--,,5 
013472,生物醫學影像暨放射科學系,20,--,均,均,--,--,均,--,--
