校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
014012,中國文學學系,33,後,--,--,--,--,--,--,--
,,,3,--,--,--,5,--,,--
014022,歷史學系,35,--,--,--,--,後,--,--,--
,,,5,--,--,--,3,--,,--
014032,資訊與圖書館學系,59,後,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
014042,大眾傳播學系,60,後,--,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
014052,資訊傳播學系,33,後,--,--,--,--,--,--,--
,,,3,4,--,5,--,--,,--
014062,教育科技學系,60,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
014072,教育與未來設計學系,25,後,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
014082,英文學系,54,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
014092,英文學系全英語學士班,32,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
014102,法國語文學系,37,--,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
014112,德國語文學系,27,--,後,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
014122,西班牙語文學系,35,--,後,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
014132,日本語文學系,95,後,--,--,--,--,--,--,--
,,,3,--,--,--,6,--,,--
014142,俄國語文學系,26,--,--,--,--,後,--,--,--
,,,--,3,--,--,6,--,,--
014152,財務金融學系,80,--,--,--,底,--,--,--,--
,,,3,4,--,5,--,--,,--
014162,財務金融學系全球財務管理全英語學士班,34,--,後,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
014172,產業經濟學系,30,--,後,--,--,--,--,--,--
,,,5,4,--,3,--,--,,--
014182,國際企業學系經貿管理組,46,--,底,--,--,--,--,--,--
,,,4,3,--,5,--,--,,--
014192,國際企業學系國際商學全英語組,40,--,後,--,--,--,--,--,--
,,,5,3,--,4,--,--,,--
014202,風險管理與保險學系,59,底,--,--,--,--,--,--,--
,,,3,4,--,5,--,--,,--
014212,經濟學系,86,後,--,--,--,--,--,--,--
,,,6,5,--,3,--,--,,--
014222,會計學系,95,--,--,--,底,--,--,--,--
,,,3,4,--,5,--,--,,--
014232,企業管理學系,82,--,--,--,底,--,--,--,--
,,,4,3,--,5,--,--,,--
014242,統計學系,80,--,--,--,底,--,--,--,--
,,,3,4,--,5,--,--,,--
014252,資訊管理學系,62,--,--,--,後,--,--,--,--
,,,5,4,--,3,--,--,,--
014262,運輸管理學系,75,--,--,--,底,--,--,--,--
,,,3,3,--,3,--,--,,--
014272,公共行政學系,42,--,--,--,--,後,--,--,--
,,,3,--,--,--,4,--,,--
014282,管理科學學系,33,底,--,--,--,--,--,--,--
,,,5,3,--,4,--,--,,--
014292,外交與國際關係學系全英語學士班,30,--,均,--,--,--,--,--,--
,,,7,3,--,--,6,--,,--
014302,國際觀光管理學系全英語學士班,40,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
014312,全球政治經濟學系全英語學士班,34,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
014322,應用數學與數據科學學系,36,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
014332,化學學系,40,--,--,--,--,--,後,--,--
,,,--,6,6,--,--,3,,--
014342,物理學系(量子材料組),25,--,--,後,--,--,--,--,--
,,,--,--,6,--,--,3,,--
014352,物理學系(天文與基礎物理組),11,後,--,後,--,--,--,--,--
,,,5,--,6,--,--,3,,--
014362,建築學系,29,後,後,後,後,--,--,--,--
,,,3,6,--,--,--,--,,--
014372,土木工程學系,57,--,--,底,--,--,--,--,--
,,,6,--,3,--,--,--,,--
014382,資訊工程學系,86,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
014392,資訊工程學系全英語學士班,35,--,--,--,後,--,--,--,--
,,,--,3,--,4,--,--,,--
014402,機械與機電工程學系,60,--,--,底,後,--,--,--,--
,,,5,--,--,--,--,3,,--
014412,電機工程學系電機資訊組,65,--,--,後,均,--,--,--,--
,,,--,5,--,--,--,3,,--
014422,電機工程學系電機通訊組,37,--,--,後,均,--,--,--,--
,,,--,5,--,--,--,3,,--
014432,電機工程學系電機與系統組,40,--,--,後,均,--,--,--,--
,,,--,5,--,--,--,3,,--
014442,化學工程與材料工程學系,52,--,--,--,--,--,後,--,--
,,,--,--,3,--,--,3,,--
014452,航空太空工程學系,100,--,--,--,--,--,後,--,--
,,,--,6,3,--,--,3,,--
014462,水資源及環境工程學系,43,--,--,後,--,--,後,--,國數A自
,,,4,--,--,--,--,--,,3 
014472,人工智慧學系,105,--,--,後,均,--,--,--,國英自
,,,4,--,--,--,--,--,,3 
014522,法國語文學系(青年儲蓄帳戶組),1,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
014532,建築學系(青年儲蓄帳戶組),1,後,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
014542,國際觀光管理學系全英語學士班(青年儲蓄帳戶組),1,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
