校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
015012,機械與電腦輔助工程學系,64,--,--,--,--,--,後,--,國數A自
,,,--,--,--,--,--,--,,3 
015022,纖維與複合材料學系,36,--,--,--,--,--,後,--,國數A自
,,,--,--,--,--,--,--,,3 
015032,工業工程與系統管理學系A組,30,--,--,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015042,工業工程與系統管理學系B組,47,--,--,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
015052,化學工程學系,61,--,後,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,--,,3 
015062,航太與系統工程學系,74,--,--,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,--,,3 
015072,精密系統設計學士學位學程,26,--,後,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015082,應用數學系A組,47,--,--,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015092,應用數學系B組,19,--,--,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
015102,材料科學與工程學系,71,--,後,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,5,,3 
015112,環境工程與科學學系,71,--,--,--,--,--,後,--,國數A自
,,,--,--,--,--,--,--,,3 
015122,光電科學與工程學系,72,--,--,後,--,--,--,--,國英數A自
,,,--,--,--,--,--,--,,3 
015132,會計學系,80,--,後,--,--,均,--,--,--
,,,4,3,--,--,5,--,,--
015142,國際經營與貿易學系,87,--,後,--,後,--,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
015152,國際企業管理全英語學士學位學程,34,--,後,--,--,--,--,--,國英數B社
,,,--,3,--,--,--,--,,5 
015162,財稅學系,62,--,後,--,--,後,--,--,--
,,,--,--,--,--,3,--,,--
015172,合作經濟暨社會事業經營學系,12,--,後,--,--,後,--,--,國英數B社
,,,--,4,--,--,--,--,,6 
015182,統計學系商業大數據組,34,--,--,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
015192,統計學系大數據分析與市場決策組,34,後,--,--,後,--,--,--,國英數B
,,,--,--,--,3,--,--,,5 
015202,經濟學系,66,--,後,--,後,--,--,--,--
,,,--,--,--,5,3,--,,--
015212,企業管理學系,63,後,後,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
015222,行銷學系,81,後,後,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
015232,中國文學系,31,均,後,--,--,--,--,--,國英社
,,,3,--,--,--,--,--,,5 
015242,外國語文學系,54,--,均,--,--,--,--,--,國英社
,,,--,3,--,--,--,--,,5 
015252,資訊工程學系,99,--,後,後,--,--,--,--,國英數A
,,,--,--,5,--,--,--,,3 
015272,資訊工程學系資安組,5,--,後,後,--,--,--,--,國英數A
,,,--,--,8,--,--,--,,5 
015282,電子工程學系,76,--,後,後,--,--,--,--,國英數A自
,,,--,--,--,--,--,--,,3 
015292,電機工程學系,69,--,後,後,--,--,--,--,國英數A自
,,,--,--,--,--,--,--,,3 
015302,自動控制工程學系,79,--,後,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015312,資訊電機學院學士班,80,--,後,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015322,通訊工程學系,77,--,後,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015332,土木工程學系,59,--,後,後,--,--,--,--,國英數A自
,,,--,--,--,--,--,--,,3 
015342,水利工程與資源保育學系,62,--,後,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
015352,都市計畫與空間資訊學系,69,後,後,--,--,後,--,--,國英社
,,,--,--,--,--,--,--,,3 
015362,運輸與物流學系,71,後,後,--,後,--,--,--,國英數B
,,,--,5,--,4,--,--,,3 
015372,土地管理學系,71,後,後,--,--,後,--,--,國英社
,,,--,--,--,--,--,--,,3 
015382,財務金融學系,108,--,後,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
015392,風險管理與保險學系,69,後,後,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
015402,財務工程與精算學士學位學程,34,--,後,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
015412,建築專業學院學士班,65,均,後,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
015422,室內設計學士學位學程,30,均,後,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
015432,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,14,--,均,--,後,--,--,--,英數B
,,,--,3,--,--,--,--,,5 
015442,澳洲昆士蘭大學商學雙學士學位學程,10,--,均,--,均,--,--,--,英數B
,,,--,5,--,--,--,--,,8 
015452,澳洲蒙納許大學資訊工程雙學士學位學程,14,--,均,後,--,--,--,--,英數A
,,,--,--,3,--,--,--,,5 
015462,美國加州聖荷西州立大學商學大數據分析雙學士學位學程,15,--,均,--,後,--,--,--,英數B
,,,--,3,--,--,--,--,,5 
015472,美國加州聖荷西州立大學電機工程雙學士學位學程,15,--,均,後,--,--,--,--,英數A
,,,--,--,3,--,--,--,,5 
015482,美國加州舊金山州立大學資訊工程雙學士學位學程,14,--,均,後,--,--,--,--,英數A
,,,--,--,3,--,--,--,,5 
015492,人工智慧技術與應用學士學位學程,40,--,後,後,--,--,--,--,國英數A
,,,--,--,3,--,--,--,,5 
