校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
016012,中國文學系,21,前,均,--,--,均,--,--,--
,,,3,5,--,--,--,--,,--
016022,英美語文學系,13,均,前,--,--,均,--,--,--
,,,8,3,--,--,--,--,,--
016032,法國語文學系,16,前,前,--,--,前,--,--,--
,,,6,3,--,--,10,--,,--
016042,文學院學士班,9,前,前,--,--,均,--,--,國英數B社
,,,4,3,--,--,5,--,,6 
016052,數學系數學科學組,20,均,均,前,--,--,均,--,英數A自
,,,8,6,3,--,--,6,,4 
016062,數學系計算與資料科學組,17,均,均,前,--,--,均,--,英數A自
,,,8,6,3,--,--,6,,4 
016072,物理學系,26,均,均,均,--,--,均,--,--
,,,--,--,6,--,--,3,,--
016082,化學學系,18,均,均,均,--,--,均,--,--
,,,3,3.5,3,--,--,3,,--
016092,光電科學與工程學系,18,均,均,均,--,--,均,--,--
,,,--,4,3,--,--,5,,--
016102,理學院學士班,8,均,均,均,--,--,均,--,--
,,,--,--,6,--,--,3,,--
016112,土木工程學系,41,均,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
016122,機械工程學系先進材料與精密製造組,19,--,均,均,--,--,均,--,國英數A自
,,,--,--,3,--,--,3,,10 
016132,機械工程學系光機電工程組,21,--,均,均,--,--,均,--,國英數A自
,,,--,--,3,--,--,3,,10 
016142,機械工程學系設計與分析組,21,--,均,均,--,--,均,--,國英數A自
,,,--,--,3,--,--,3,,10 
016152,化學工程與材料工程學系,22,--,--,頂,--,--,頂,--,--
,,,--,--,3,--,--,4,,--
016162,工學院學士班,13,--,均,均,--,--,均,--,英自
,,,--,--,--,--,--,--,,3 
016172,企業管理學系,47,前,前,--,前,--,--,--,數B社
,,,10,10,--,10,--,--,,3 
016182,資訊管理學系,33,均,--,均,--,--,--,--,--
,,,--,3,8,--,--,4,,--
016202,經濟學系,26,均,均,--,前,--,--,--,--
,,,10,10,--,3,--,--,,--
016212,財務金融學系,29,前,前,前,前,均,--,--,英社
,,,10,10,--,--,8,--,,3 
016222,電機工程學系,55,均,前,前,--,--,前,--,--
,,,--,3,6,--,--,6,,--
016232,資訊工程學系,49,均,前,前,--,--,前,--,國英數A自
,,,--,4,3,--,--,5,,10 
016262,通訊工程學系,19,均,前,前,--,--,前,--,國英數A自
,,,5,3,3,--,--,5,,3.5 
016272,資訊電機學院學士班,7,均,前,前,--,--,前,--,--
,,,12,5,5,--,--,5,,--
016282,大氣科學學系,14,均,均,前,--,--,前,--,英數A自
,,,--,--,6,--,--,6,,3.5 
016292,太空科學與工程學系,13,均,均,前,--,--,前,--,英數A自
,,,--,--,6,--,--,6,,3.5 
016302,地球科學學系,33,均,均,前,--,--,前,--,英數A自
,,,--,--,--,--,--,--,,3 
016312,地球科學學院學士班,9,均,均,前,--,--,前,--,數A自
,,,--,5,5,--,--,5,,4 
016322,客家語文暨社會科學學系客家語文及傳播組,10,前,均,--,均,前,--,--,--
,,,3,--,--,--,3,--,,--
016332,客家語文暨社會科學學系客家社會及政策組,12,前,均,--,均,前,--,--,--
,,,3,--,--,--,3,--,,--
016342,生命科學系,11,--,均,均,--,--,頂,--,--
,,,--,--,8,--,--,4,,--
016352,生醫科學與工程學系,14,--,前,前,--,--,前,--,--
,,,--,4,3,--,--,3,,--
016362,向日葵聯合招生甲組(電資),3,均,均,均,--,--,均,--,國英數A自
,,,--,6,6,--,--,--,,7 
016372,向日葵聯合招生乙組(商管),5,均,均,--,均,均,--,--,國英數B社
,,,--,5,--,5,--,--,,6 
016382,向日葵聯合招生丙組(理學),11,均,均,均,--,--,均,--,國英數A自
,,,--,--,3.5,--,--,3.5,,5 
016392,向日葵聯合招生丁組(工程),10,均,均,均,--,--,均,--,國英數A自
,,,--,--,5,--,--,5,,6 
016402,向日葵聯合招生戊組(人社),8,均,均,--,--,均,--,--,國英社
,,,6,6,--,--,--,--,,7 
