校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
017012,哲學系,14,底,--,--,--,--,--,--,--
,,,--,--,--,--,3.5,--,,--
017022,中國文學系中國文學組,14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,5,--,,--
017032,中國文學系文藝創作組,14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,5,--,,--
017042,史學系,14,--,--,--,--,底,--,--,國社
,,,--,--,--,--,6,--,,3.5 
017052,日本語文學系,25,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
017062,韓國語文學系,72,底,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
017072,英國語文學系,14,--,底,--,--,--,--,--,--
,,,--,3.5,--,--,--,--,,--
017082,法國語文學系,18,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
017092,全球商務學士學位學程,15,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
017102,應用數學系,25,--,--,底,--,--,--,--,--
,,,3,3,4,--,--,--,,--
017112,光電物理學系,22,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
017122,化學系,22,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
017132,地理學系,17,底,--,--,--,--,--,--,--
,,,6,--,--,--,3,--,,--
017142,大氣科學系,19,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
017152,地質學系,14,底,--,--,--,--,--,--,--
,,,--,3.5,--,--,--,--,,--
017162,生命科學系,16,底,--,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
017172,法律學系,120,底,--,--,--,--,--,--,--
,,,3,--,--,--,5,--,,--
017182,政治學系,17,底,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
017192,經濟學系,21,底,--,--,--,--,--,--,國英
,,,--,--,--,3,--,--,,5 
017202,勞動暨人力資源學系,24,--,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
017212,社會福利學系,23,底,--,--,--,--,--,--,--
,,,5,--,--,--,3,--,,--
017222,行政管理學系,20,--,--,--,--,底,--,--,--
,,,6,--,--,--,3,--,,--
017232,園藝暨生物技術學系,18,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017242,動物科學系,21,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017252,森林暨自然保育學系,17,--,--,--,--,--,底,--,--
,,,6,--,--,--,--,3,,--
017262,土地資源學系,24,底,--,--,--,--,--,--,--
,,,3,--,--,9,--,--,,--
017272,生活應用科學系,28,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
017282,保健營養學系,20,--,--,--,--,--,底,--,國自
,,,--,--,--,--,--,--,,3 
017292,化學工程與材料工程學系,53,--,--,--,--,--,底,--,--
,,,--,3,3,--,--,3,,--
017302,電機工程學系,66,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
017312,機械工程學系,51,--,--,底,--,--,--,--,--
,,,3,3,3,--,--,--,,--
017322,紡織工程學系,20,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
017332,資訊工程學系,72,--,--,底,底,--,--,--,--
,,,3,--,--,--,--,--,,--
017342,國際貿易學系,30,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
017352,國際企業管理學系,36,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
017362,會計學系,29,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017372,觀光事業學系,39,--,--,--,--,底,--,--,--
,,,3,4,--,--,5,--,,--
017382,資訊管理學系(智慧商務科技組),30,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017392,資訊管理學系(人工智慧組),24,--,--,--,底,--,--,--,--
,,,--,--,--,3,--,--,,--
017402,財務金融學系金融行銷組,24,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
017412,財務金融學系財務金融組,26,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017422,財務金融學系數位金融組,24,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
017432,行銷學士學位學程,25,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
017442,新聞學系,28,底,--,--,--,--,--,--,--
,,,8,3,--,--,10,--,,--
017452,廣告學系,52,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017462,資訊傳播學系,48,底,--,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
017472,大眾傳播學系,44,底,--,--,--,--,--,--,--
,,,3,--,--,--,10,--,,--
017482,都市計劃與開發管理學系,20,底,--,--,--,--,--,--,--
,,,6,--,--,--,3,--,,--
017492,建築及都市設計學系,24,底,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
017502,景觀學系,26,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
017512,教育學系,15,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
017522,心理輔導學系,55,--,底,--,--,--,--,--,國英社
,,,--,--,--,--,--,--,,3 
017532,戲劇學系,86,底,--,--,--,--,--,--,--
,,,5,5,--,--,--,--,,--
017542,中國戲劇學系,29,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
017562,音樂學系B組,7,--,--,--,--,--,--,--,--
,,,12,--,--,--,--,--,,--
