校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
018012,英國語文學系,22,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
018022,西班牙語文學系,31,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
018032,日本語文學系,55,後,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
018042,中國文學系,31,底,--,--,--,--,--,--,國社
,,,5,--,--,--,--,--,,3 
018052,社會工作與兒童少年福利學系,65,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
018062,台灣文學系,32,底,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
018072,法律學系,94,後,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
018082,生態人文學系,32,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
018092,大眾傳播學系,36,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
018102,財務工程學系,73,--,--,--,底,--,--,--,--
,,,5,--,--,3,--,--,,--
018112,應用化學系,68,--,--,--,--,--,底,--,--
,,,5,--,--,--,--,3,,--
018122,食品營養學系營養與保健組,28,--,--,--,--,--,底,--,國英自
,,,--,--,--,--,--,--,,3 
018132,食品營養學系食品與生物技術組,27,--,--,--,--,--,底,--,國英自
,,,--,--,--,--,--,--,,3 
018142,化粧品科學系,63,底,--,--,--,--,--,--,--
,,,8,3,--,--,--,--,,--
018152,資料科學暨大數據分析與應用學系,69,--,--,--,底,--,--,--,--
,,,3,--,--,3,--,--,,--
018162,企業管理學系,63,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
018172,國際企業學系,71,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
018182,會計學系,58,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
018192,觀光事業學系,64,底,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
018202,財務金融學系,76,底,--,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
018212,資訊管理學系(人工智慧應用組),30,--,--,--,底,--,--,--,--
,,,6,--,--,3,--,--,,--
018222,資訊管理學系(智慧商務與大數據應用組),29,--,--,--,底,--,--,--,--
,,,6,3,--,--,--,--,,--
018242,資訊工程學系,67,--,--,--,底,--,--,--,--
,,,3,--,--,--,--,--,,--
018262,資訊傳播工程學系(元宇宙應用創作組),22,--,--,底,底,--,--,--,--
,,,6,--,--,--,3,--,,--
018272,資訊傳播工程學系(人工智慧與遊戲設計組),26,--,--,底,底,--,--,--,--
,,,6,--,--,--,--,3,,--
018292,寰宇管理學士學位學程,29,--,後,--,--,--,--,--,國英
,,,5,--,--,--,--,--,,3 
018302,寰宇外語教育學士學位學程,25,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
