校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
019012,機械與材料工程學系,47,--,--,底,底,--,--,--,國英自
,,,--,--,--,--,--,--,,3 
019022,化學工程與生物科技學系,46,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,3,,--
019032,工程學院學士班,26,--,底,--,--,--,--,--,國英自
,,,--,--,--,--,--,--,,3 
019042,電機工程學系,71,後,後,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
019052,資訊工程學系,67,--,--,後,後,--,--,--,--
,,,--,3,--,--,--,--,,--
019062,事業經營學系,41,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
019072,資訊經營學系,27,--,--,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,3 
019082,應用外語學系,24,--,底,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
019092,工業設計學系,56,--,後,後,後,--,--,--,國英
,,,--,4.5,--,--,--,--,,3 
019102,媒體設計學系互動媒體設計組,20,--,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
019112,媒體設計學系數位遊戲設計組,26,--,--,--,後,--,--,--,--
,,,--,4,--,3,--,--,,--
019122,化學工程與生物科技學系(青年儲蓄帳戶組),1,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
