校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
020012,中國文學系,53,後,--,--,--,底,--,--,--
,,,3,--,--,--,--,--,,--
020022,歷史學系,49,底,--,--,--,--,--,--,--
,,,8,--,--,--,3,--,,--
020032,哲學系,45,底,--,--,--,--,--,--,--
,,,8,--,--,--,3,--,,--
020042,人文與社區創新學士學位學程,19,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
020052,景觀設計學系,22,後,後,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
020062,景觀設計學系青年儲蓄帳戶組,1,--,後,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
020072,影像傳播學系,25,均,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
020082,新聞傳播學系,28,均,--,--,--,--,--,--,--
,,,3,3,--,--,3,--,,--
020092,廣告傳播學系,29,--,均,--,--,--,--,--,--
,,,4,3,--,4,--,--,,--
020102,圖書資訊學系,31,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
020112,教育領導與科技發展學士學位學程,20,後,--,--,--,後,--,--,國英社
,,,--,--,--,--,--,--,,3 
020122,護理學系,46,--,後,--,--,--,後,--,--
,,,--,3,--,--,--,8,,--
020132,公共衛生學系,26,--,--,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,3 
020142,公共衛生學系青年儲蓄帳戶組,1,--,底,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
020152,醫學系,14,--,頂,前,--,前,頂,--,--
,,,--,3,8,--,3,8,,--
020162,醫學系(公費生),7,--,頂,前,--,前,頂,--,--
,,,--,3,8,--,3,8,,--
020172,臨床心理學系,33,底,底,底,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
020182,職能治療學系,31,--,後,--,--,--,--,--,--
,,,--,6,--,--,--,3,,--
020192,呼吸治療學系,21,--,後,--,--,--,後,--,--
,,,--,8,--,--,--,3,,--
020202,呼吸治療學系青年儲蓄帳戶組,1,--,後,--,--,--,後,--,--
,,,--,--,--,--,--,--,,--
020212,數學系資訊數學組,29,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
020222,數學系應用數學組,30,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
020232,化學系,57,--,--,--,--,--,後,--,英自
,,,--,--,--,--,--,--,,3 
020242,資訊工程學系,53,--,--,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
020262,生命科學系,62,--,--,--,--,--,均,--,--
,,,--,--,--,--,--,3,,--
020272,物理學系電子物理組,20,--,--,後,--,--,--,--,--
,,,--,--,5,--,--,3,,--
020282,物理學系光電物理組,34,--,--,後,--,--,--,--,--
,,,--,--,5,--,--,3,,--
020292,電機工程學系,51,--,--,後,--,--,--,--,英數A自
,,,--,--,--,--,--,--,,3 
020312,醫學資訊與創新應用學士學位學程,36,--,--,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
020322,醫學資訊與創新應用學士學位學程(資安組),3,--,--,後,--,--,--,--,英數A
,,,--,--,--,--,--,--,,8 
020332,人工智慧與資訊安全學士學位學程,17,--,--,後,--,--,--,--,英數A
,,,--,--,--,--,--,--,,3 
020342,人工智慧與資訊安全學士學位學程(資安組),3,--,--,後,--,--,--,--,英數A
,,,--,--,--,--,--,--,,8 
020352,英國語文學系,31,均,前,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
020362,英國語文學系青年儲蓄帳戶組,1,--,前,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
020372,法國語文學系,35,--,均,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
020382,西班牙語文學系,29,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
020392,日本語文學系,61,均,--,--,--,--,--,--,--
,,,3,4,--,--,--,--,,--
020402,義大利語文學系,34,--,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
020412,德語語文學系,37,後,後,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
020422,國際溝通與科技創新學士學位學程,16,--,均,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
020432,織品服裝學系織品設計組,39,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
020442,織品服裝學系服飾設計組,33,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
020452,織品服裝學系織品服飾行銷組,84,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
020462,餐旅管理學系,70,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
020472,兒童與家庭學系,38,--,後,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
020482,食品科學系,31,--,--,--,--,--,後,--,--
,,,--,--,--,--,--,3,,--
020492,食品科學系青年儲蓄帳戶組,1,--,--,--,--,--,後,--,--
,,,--,--,--,--,--,--,,--
020502,營養科學系,29,--,後,底,--,--,底,--,--
,,,--,8,--,--,--,3,,--
020512,法律學系,69,均,均,--,--,--,--,--,國英社
,,,--,3,--,--,--,--,,4 
020522,財經法律學系,33,均,均,--,--,--,--,--,國英社
,,,--,3,--,--,--,--,,4 
020532,企業管理學系,89,--,均,--,後,--,--,--,英數B
,,,--,--,--,5,--,--,,3 
020542,會計學系,53,--,均,--,--,--,--,--,國數B
,,,--,--,--,--,--,--,,3 
020552,會計學系青年儲蓄帳戶組,1,--,均,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
020562,資訊管理學系,66,--,後,--,後,--,--,--,--
,,,5,3,--,4,--,--,,--
020582,統計資訊學系,72,--,--,--,均,--,--,--,英數B
,,,--,--,--,--,--,--,,3 
020592,金融與國際企業學系,62,--,均,--,--,--,--,--,國數B
,,,--,3,--,--,--,--,,8 
020602,社會學系,34,--,均,--,--,均,--,--,英社
,,,--,--,--,--,--,--,,3 
020612,社會工作學系,26,後,--,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
020622,經濟學系,59,--,後,--,--,--,--,--,--
,,,--,6,--,3,--,--,,--
020632,宗教學系,49,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
020642,心理學系,35,後,後,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
020652,天主教研修學士學位學程,11,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
020662,音樂學系應用音樂組,3,--,--,--,--,--,--,--,--
,,,15,15,--,--,--,--,,--
020682,音樂學系爵士音樂組,2,--,--,--,--,--,--,--,--
,,,15,15,--,--,--,--,,--
020712,體育學系運動健康管理組,36,--,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
