校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
021012,商船學系,57,--,均,均,--,--,--,--,--
,,,--,6,3,--,--,--,,--
021022,航運管理學系,49,--,均,--,均,--,--,--,國英數B社
,,,--,3,--,5,--,--,,6 
021032,運輸科學系A組,23,--,均,--,均,--,--,--,--
,,,--,3,--,5,--,--,,--
021042,運輸科學系B組,23,--,均,均,--,--,--,--,--
,,,--,3,5,--,--,--,,--
021052,輪機工程學系,38,--,均,均,--,--,均,--,--
,,,--,3,4,--,--,6,,--
021062,食品科學系,41,--,均,--,--,--,均,--,--
,,,--,3,--,--,--,10,,--
021072,水產養殖學系,39,--,--,--,--,--,均,--,--
,,,--,--,--,--,--,3,,--
021082,生命科學暨生物科技學系,19,--,--,--,--,--,均,--,國英自
,,,--,--,--,--,--,3,,8 
021092,系統工程暨造船學系,29,--,--,均,--,--,均,--,--
,,,--,--,4,--,--,3,,--
021102,河海工程學系,50,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
021112,機械與機電工程學系,40,--,--,均,--,--,均,--,數A自
,,,--,3,5.5,--,--,6,,4.5 
021122,海洋環境資訊系,28,--,均,均,--,--,後,--,--
,,,--,3,4,--,--,5,,--
021132,環境生物與漁業科學學系,17,--,後,後,後,--,--,--,--
,,,--,3,--,--,--,6,,--
021142,電機工程學系,43,均,均,均,--,--,均,--,英數A自
,,,--,--,3,--,--,--,,3.5 
021152,電機工程學系(青年儲蓄帳戶組),1,--,均,--,--,--,均,--,--
,,,--,--,--,--,--,--,,--
021162,資訊工程學系,43,--,均,均,--,--,均,--,英數A自
,,,--,--,3,--,--,--,,4 
021182,資訊工程學系(資安組),3,--,均,均,--,--,--,--,--
,,,--,--,6,--,--,--,,--
021192,通訊與導航工程學系,19,--,均,均,--,--,均,--,國英數A自
,,,--,6,3,--,--,5.5,,5 
021202,光電與材料科技學系,12,--,均,均,--,--,均,--,--
,,,--,6,3,--,--,4,,--
021212,海洋觀光管理學士學位學程,14,均,後,--,後,後,--,--,--
,,,5,3,--,6,5.5,--,,--
021222,海洋觀光管理學士學位學程(青年儲蓄帳戶組),1,均,後,--,--,後,--,--,--
,,,--,--,--,--,--,--,,--
021232,海洋法政學士學位學程,15,--,均,均,均,--,--,--,--
,,,6,3,--,--,--,--,,--
021242,海洋法政學士學位學程(青年儲蓄帳戶組),1,--,均,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
021252,海洋文創設計產業學士學位學程,15,均,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
021262,海洋經營管理學士學位學程,12,--,均,--,後,--,--,--,國英數B社
,,,--,4,--,6,--,--,,8 
021272,海洋工程科技學士學位學程,14,--,--,後,--,--,均,--,數A自
,,,--,--,3.5,--,--,4.5,,5 
021282,海洋生物科技學士學位學程,14,--,後,--,--,--,後,--,--
,,,--,7,--,--,--,3,,--
