校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
022012,國文學系,35,均,--,--,--,均,--,--,--
,,,3,--,--,--,10,--,,--
022022,英語學系,25,--,均,--,底,--,--,B,--
,,,5,3,--,--,10,--,,--
022032,地理學系,16,--,均,--,均,均,--,--,--
,,,--,6,--,8,3,--,,--
022042,數學系數學組,18,--,--,前,--,--,--,--,--
,,,--,--,3,--,--,--,,--
022052,數學系應用數學組,15,--,--,前,--,--,--,--,--
,,,--,--,3,--,--,--,,--
022062,化學系,19,--,底,--,--,--,--,--,--
,,,--,3,3,--,--,3,,--
022072,物理學系,16,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,3,,--
022082,生物科技系,19,--,--,--,--,--,均,--,--
,,,3,3,--,--,--,3,,--
022092,教育學系,14,--,均,--,--,--,--,--,--
,,,10,5,--,3.5,--,--,,--
022102,特殊教育學系,17,均,--,--,--,--,--,--,--
,,,5,--,--,3,--,--,,--
022112,事業經營學系,14,--,均,--,均,--,--,--,--
,,,--,3.5,--,4.5,--,--,,--
022122,工業科技教育學系科技教育與訓練組,9,--,--,後,--,--,均,--,--
,,,--,5.5,5.5,--,--,5.5,,--
022132,工業科技教育學系能源與冷凍空調組,7,--,--,後,--,--,均,--,--
,,,--,6,6,--,--,6,,--
022142,工業設計學系,15,--,均,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
022152,電機工程學系,15,--,--,均,--,--,--,--,英數A自
,,,--,--,--,--,--,--,,3 
022162,電子工程學系,19,--,--,均,--,--,--,--,英數A自
,,,--,--,--,--,--,--,,3 
022172,軟體工程與管理學系,9,--,--,均,--,--,--,--,--
,,,5,5,5,--,--,--,,--
