校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
023012,輔導與諮商學系學校輔導與諮商組,16,前,前,--,均,均,--,--,國英數B社
,,,3,--,--,--,--,--,,5 
023022,輔導與諮商學系社區輔導與諮商組,13,前,前,--,均,均,--,--,國英數B社
,,,3,--,--,--,--,--,,5 
023032,特殊教育學系,14,均,均,--,--,--,--,--,--
,,,3,4,--,--,--,--,,--
023042,數學系,35,--,--,前,--,--,--,--,國英數A自
,,,--,8,3,--,--,--,,10 
023052,物理學系物理組,19,--,--,均,--,--,均,--,--
,,,--,--,3,--,--,5,,--
023062,物理學系光電組,19,--,--,均,--,--,均,--,--
,,,--,--,3,--,--,5,,--
023072,生物學系,18,--,均,--,--,--,均,--,--
,,,--,3,--,--,--,5,,--
023082,化學系,21,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
023092,英語學系,18,均,前,--,--,均,--,--,--
,,,--,3,--,--,--,--,,--
023102,國文學系,28,前,均,--,--,均,--,--,--
,,,3,--,--,--,6,--,,--
023112,國文學系(公費生甲組),1,前,前,--,--,前,--,--,--
,,,6,12,--,--,--,--,,--
023122,國文學系(公費生乙組),1,前,前,--,--,前,--,--,--
,,,6,12,--,--,--,--,,--
023132,地理學系,19,--,均,--,均,均,--,--,--
,,,--,6,--,8,3,--,,--
023142,機電工程學系,18,均,均,均,--,--,均,--,--
,,,--,--,6,--,--,3,,--
023152,電機工程學系,13,均,均,均,--,--,均,--,英數A
,,,--,8,5,--,--,7,,3.5 
023162,電子工程學系,22,--,均,均,--,--,均,--,國英數A自
,,,--,3,3,--,--,3,,5 
023172,資訊工程學系,12,--,--,均,--,--,--,--,--
,,,--,4,4,--,--,4,,--
023192,企業管理學系,20,均,均,後,均,--,--,--,國英
,,,3,6,--,--,--,--,,8 
023202,會計學系,30,均,均,--,均,--,--,--,--
,,,4,5,--,3,--,--,,--
023212,資訊管理學系資訊管理組,11,--,均,--,均,--,--,--,國英數B
,,,--,3,--,4,--,--,,7 
023222,資訊管理學系數位內容科技與管理組,11,--,均,均,--,--,--,--,國英數A
,,,--,3,4,--,--,--,,7 
023232,公共事務與公民教育學系公民教育組,9,--,--,--,--,均,--,--,國英數B社
,,,--,6,--,--,5,--,,8 
023242,公共事務與公民教育學系公共事務組,7,--,--,--,--,均,--,--,國英數B社
,,,--,6,--,--,5,--,,8 
023252,揚鷹招生A組(教社),3,均,均,--,--,--,--,--,國英
,,,10,--,--,--,--,--,,12 
023262,揚鷹招生B組(文),3,均,均,--,--,均,--,--,國英
,,,--,--,--,--,--,--,,10 
023272,揚鷹招生C組(管理),3,--,均,--,均,--,--,--,--
,,,--,10,--,12,--,--,,--
023282,揚鷹招生D組(理),4,--,--,均,--,--,--,--,英數A自
,,,--,--,10,--,--,12,,15 
023292,揚鷹招生E組(工),8,--,--,均,--,--,--,--,英數A自
,,,--,--,5,--,--,8,,10 
