校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
026012,醫學系,70,頂,頂,頂,--,--,頂,--,--
,,,3,3,8,--,--,8,,--
026022,牙醫學系,27,頂,前,前,--,--,前,--,--
,,,10,3,8,--,--,5,,--
026032,物理治療學系,14,--,底,--,--,--,--,--,--
,,,3,3,--,--,--,3,,--
026042,職能治療學系,18,--,均,底,後,--,均,--,--
,,,10,3,--,--,--,--,,--
026052,語言治療與聽力學系語言治療組,25,--,--,--,--,--,後,--,--
,,,3,3,3,--,--,3,,--
026062,語言治療與聽力學系聽力組,25,--,--,--,--,--,後,--,--
,,,3,3,3,--,--,3,,--
026072,生物醫學科學學系,36,--,--,後,--,--,後,--,國英
,,,--,--,--,--,--,3,,10 
026082,視光學系,32,後,後,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
026092,醫學影像暨放射科學系,38,--,--,--,--,--,後,--,--
,,,--,5,5,--,--,3,,--
026102,心理學系,24,--,後,--,--,--,--,--,--
,,,3,10,--,--,--,--,,--
026112,營養學系(A組),22,--,--,--,--,--,底,--,--
,,,--,3,--,--,--,3,,--
026122,營養學系(B組),12,底,--,--,--,--,--,--,--
,,,4,4,--,--,4,--,,--
026132,職業安全衛生學系,30,底,底,底,--,--,底,--,國英數A自
,,,--,--,--,--,--,--,,3 
026142,醫學應用化學系,22,--,--,--,--,--,均,--,國數A自
,,,--,--,--,--,--,--,,3 
026152,健康產業科技管理學系,31,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
026162,護理學系,57,--,--,--,--,--,底,--,國英自
,,,--,--,--,--,--,--,,3 
026172,醫學檢驗暨生物技術學系,38,--,均,--,--,--,均,--,--
,,,--,10,--,--,--,3,,--
026182,應用外國語言學系,26,--,均,--,--,--,--,--,國英社
,,,--,3,--,--,--,--,,5 
026192,公共衛生學系(A組),18,底,--,--,--,--,--,--,國自
,,,--,--,--,--,--,--,,3 
026202,公共衛生學系(B組),18,底,--,--,--,--,--,--,--
,,,10,--,10,--,3,--,,--
026212,醫學社會暨社會工作學系,55,--,--,--,--,後,--,--,--
,,,3,3,--,--,3,--,,--
026222,醫學資訊學系,25,--,後,後,--,--,--,--,--
,,,--,5,3,--,--,--,,--
026232,醫療產業科技管理學系,19,--,後,--,後,--,--,--,--
,,,--,6,--,3,--,--,,--
