校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
027012,中國文學系,14,前,--,--,--,--,--,--,國英社
,,,3.5,--,--,--,--,--,,10 
027022,外國語文學系,24,均,前,--,--,均,--,--,--
,,,8,3,--,--,8,--,,--
027042,生物科學系,12,--,均,均,--,--,前,--,--
,,,--,20,10,--,--,4,,--
027052,生物科學系英語組,10,均,均,均,--,--,前,--,--
,,,--,10,10,--,--,4,,--
027062,化學系,9,--,均,均,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,5.5 
027072,化學系英語組,8,--,前,均,--,--,均,A,國英數A自
,,,--,--,--,--,--,--,,6 
027082,物理學系,9,均,均,均,--,--,均,--,--
,,,--,5.5,5.5,--,--,5.5,,--
027092,物理學系量子科技組(全英),10,--,均,均,--,--,均,--,--
,,,--,5,5,--,--,5,,--
027102,應用數學系,13,--,均,均,--,--,均,--,國英數A自
,,,--,--,3.5,--,--,--,,5 
027112,應用數學系英語組,16,--,均,均,--,--,--,--,國英數A自
,,,--,5,3,--,--,--,,7 
027122,電機工程學系,24,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
027132,電機工程學系全英語組,28,--,前,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
027152,機械與機電工程學系,40,--,--,均,--,--,均,--,英數A自
,,,--,--,6,--,--,3,,10 
027162,機械與機電工程學系全英語組,24,--,均,均,--,--,均,--,英數A自
,,,--,--,5,--,--,3,,8 
027172,資訊工程學系,25,均,均,前,--,--,前,--,國英數A自
,,,10,3,3,--,--,6,,4 
027182,資訊工程學系全英語學士班,17,均,前,前,--,--,均,--,國英數A自
,,,--,--,3,--,--,5,,8 
027192,光電工程學系,11,--,均,均,--,--,均,--,--
,,,--,--,3,--,--,4,,--
027202,光電工程學系全英語組,16,--,前,均,--,--,均,--,--
,,,--,--,3,--,--,4,,--
027212,材料與光電科學學系,12,均,均,前,--,--,前,--,--
,,,5,5,4,--,--,4,,--
027222,材料與光電科學學系全英語組,13,--,均,前,--,--,前,--,--
,,,--,5,3.5,--,--,3.5,,--
027232,企業管理學系,38,--,均,--,均,--,--,--,--
,,,--,8,--,3,--,--,,--
027242,資訊管理學系,25,--,均,均,--,--,--,--,--
,,,3,3,3,--,--,--,,--
027252,財務管理學系,26,均,均,均,--,--,--,--,--
,,,--,3,8,--,--,--,,--
027262,國際經營管理全英語學士學位學程,15,--,均,--,均,均,--,--,--
,,,--,3,--,8,--,--,,--
027272,海洋生物科技暨資源學系,19,--,均,均,--,--,均,B,--
,,,--,3,5,--,--,4,,--
027282,海洋環境及工程學系,24,--,均,均,--,--,均,--,--
,,,--,--,3,--,--,3,,--
027292,海洋科學系,20,均,均,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
027302,政治經濟學系,27,--,均,均,--,--,--,--,--
,,,--,5,3,--,--,--,,--
027312,社會學系,14,--,均,均,均,均,--,--,--
,,,--,3,--,--,3,--,,--
027322,人文暨科技跨領域學士學位學程,17,均,均,均,前,--,--,--,--
,,,3,3,--,--,--,--,,--
027332,生物醫學科技學系全英語學士班生物醫學組,8,--,均,均,--,--,均,--,--
,,,--,10,--,--,--,4,,--
027342,生物醫學科技學系全英語學士班生醫工程組,9,--,均,均,--,--,前,--,--
,,,--,10,10,--,--,5,,--
027352,西灣南星A組(文),2,均,均,--,--,均,--,--,--
,,,5,5,--,--,5,--,,--
027362,西灣南星B組(管),4,均,均,--,均,--,--,--,--
,,,5,5,--,5,--,--,,--
027372,西灣南星C組(理),4,--,均,均,--,--,均,--,--
,,,--,5,5,--,--,5,,--
027382,西灣南星D組(工),7,--,均,均,--,--,均,--,--
,,,--,5,5,--,--,5,,--
027392,西灣南星E組(海),4,--,均,均,--,--,均,--,--
,,,--,5,5,--,--,5,,--
027402,西灣南星F組(社),2,均,均,均,均,均,--,--,--
,,,5,5,--,--,5,--,,--
027412,西灣南星G組(西灣),1,均,均,均,前,--,--,--,--
,,,5,5,--,--,--,--,,--
027422,西灣南星H組(醫),1,--,均,均,--,--,前,--,--
,,,--,12,9,--,--,6,,--
