校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
030012,醫學系,53,前,前,前,--,--,前,--,--
,,,3,3,3,--,--,3,,--
030022,醫學系(公費生),4,前,前,前,--,--,前,--,--
,,,3,3,3,--,--,3,,--
030032,中醫學系,29,頂,頂,頂,--,--,頂,--,--
,,,--,6,6,--,--,3,,--
030042,護理學系,50,--,均,--,--,--,均,--,--
,,,--,3,--,--,--,5,,--
030052,醫學生物技術暨檢驗學系,28,--,均,--,--,--,均,--,英數A自
,,,--,3,--,--,--,3,,8 
030062,醫學影像暨放射科學系,17,--,均,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
030072,物理治療學系,22,均,均,--,--,--,均,--,--
,,,3,3,--,--,--,3,,--
030082,職能治療學系,20,--,均,後,均,--,均,--,--
,,,--,3,--,--,--,3,,--
030092,生物醫學系,54,--,均,均,--,--,均,--,--
,,,--,3,--,--,--,3,,--
030102,呼吸治療學系,22,--,--,--,--,--,後,--,--
,,,--,3,--,--,--,3,,--
030112,電機工程學系,50,--,--,均,--,--,--,--,英數A自
,,,--,--,3,--,--,3,,5 
030122,機械工程學系,17,--,--,均,--,--,--,--,--
,,,--,3,3,--,--,3,,--
030132,化工與材料工程學系,28,--,--,均,--,--,--,--,--
,,,--,3,3,--,--,3,,--
030142,電子工程學系,35,--,--,--,--,--,均,--,--
,,,--,3,3,--,--,3,,--
030152,資訊工程學系,28,--,--,均,--,--,--,--,--
,,,--,3,3,--,--,3,,--
030162,生物醫學工程學系,17,--,--,均,--,--,--,--,--
,,,--,3,3,--,--,3,,--
030172,人工智慧學系,20,--,均,--,--,--,--,--,--
,,,--,3,3,--,--,3,,--
030182,醫務管理學系,26,--,均,後,均,--,--,--,--
,,,3,3,--,--,--,--,,--
030192,工商管理學系(數智商務組),20,--,--,--,均,--,--,--,--
,,,--,3,--,--,--,--,,--
030202,工商管理學系(工商創業組),19,--,--,--,均,--,--,--,--
,,,3,--,--,--,--,--,,--
030212,工業設計學系,19,--,--,後,後,--,--,--,--
,,,3,3,--,--,--,--,,--
030222,資訊管理學系,26,--,--,後,均,--,--,--,--
,,,3,3,--,--,--,--,,--
030232,資訊管理學系(資安組),4,--,--,後,均,--,--,--,--
,,,--,8,--,--,--,--,,--
030242,數位金融科技學系(甲組),10,--,--,均,--,--,--,--,--
,,,--,5,5,--,--,--,,--
030252,數位金融科技學系(乙組),12,--,--,--,均,--,--,--,--
,,,--,4,--,4,--,--,,--
