校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
031012,教育學系,20,均,均,--,--,--,--,--,--
,,,5,3,--,4,--,--,,--
031022,特殊教育學系,19,均,--,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
031032,幼兒教育學系,22,均,--,--,--,--,--,--,國英社
,,,3,--,--,--,--,--,,5 
031042,柳川招生組,6,均,均,--,--,--,--,--,--
,,,8,10,--,--,--,--,,--
031052,體育學系非運動專長組,7,--,--,--,後,--,--,--,國英數B
,,,--,--,--,--,--,--,,6 
031062,語文教育學系,6,均,--,--,--,--,--,--,國英數B社
,,,6,--,--,--,--,--,,8 
031072,區域與社會發展學系,14,--,--,--,--,均,--,--,--
,,,--,--,--,--,3,--,,--
031082,諮商與應用心理學系,20,均,均,--,後,--,--,--,--
,,,4,3,--,--,--,--,,--
031092,臺灣語文學系,21,均,均,--,--,均,--,--,--
,,,3,4,--,--,10,--,,--
031102,英語學系,16,--,均,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
031112,數學教育學系,11,--,--,均,--,--,--,--,--
,,,--,--,4,--,--,--,,--
031122,科學教育與應用學系,22,--,--,--,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3 
031132,資訊工程學系,26,--,--,均,--,--,--,--,國英數A自
,,,--,--,--,--,--,--,,3 
031142,數位內容科技學系,24,--,均,--,均,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
031152,國際企業學系,14,--,均,--,--,--,--,--,國英數B
,,,8,3,--,--,--,--,,10 
031162,文化創意產業設計與營運學系,16,--,均,--,--,--,--,--,英社
,,,10,5,--,--,6,--,,3 
