校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
032012,教育學系,19,均,均,--,均,--,--,--,國英數B
,,,3,--,--,--,--,--,,5 
032022,教育學系(芝山組),2,均,均,--,均,--,--,--,國英數B
,,,5,--,--,--,--,--,,6 
032032,教育經營與管理學系,19,均,前,--,均,--,--,--,--
,,,3,5,--,3,--,--,,--
032042,教育經營與管理學系(芝山組),2,均,均,--,均,--,--,--,--
,,,5,5,--,6,--,--,,--
032052,幼兒與家庭教育學系,16,前,均,--,均,均,--,--,--
,,,5,3,--,--,--,--,,--
032062,幼兒與家庭教育學系(芝山組),2,前,均,--,均,均,--,--,--
,,,5,3,--,--,--,--,,--
032072,幼兒與家庭教育學系(公費生),1,前,均,--,均,均,--,--,--
,,,5,3,--,--,--,--,,--
032082,特殊教育學系,18,均,均,--,均,--,--,--,--
,,,5,4,--,3,--,--,,--
032092,特殊教育學系(芝山組),3,均,均,--,均,--,--,--,--
,,,5,4,--,3,--,--,,--
032102,心理與諮商學系,10,均,均,--,均,--,--,--,--
,,,5,4,--,3,--,--,,--
032112,心理與諮商學系(芝山組),6,均,均,--,後,--,--,--,--
,,,5,4,--,3,--,--,,--
032122,社會與區域發展學系,29,均,均,--,均,均,--,--,國英社
,,,--,--,--,--,--,--,,2.5 
032132,兒童英語教育學系,24,均,前,--,均,--,--,--,--
,,,--,3,--,--,--,--,,--
032142,兒童英語教育學系(公費生),2,均,前,--,均,--,--,--,--
,,,--,6,--,--,--,--,,--
032152,語文與創作學系語文師資組,16,前,均,--,均,均,--,--,國英數B社
,,,3,5,--,--,--,--,,6 
032162,語文與創作學系文學創作組,19,前,均,--,--,均,--,--,國英社
,,,3,5,--,--,--,--,,6 
032172,文化創意產業經營學系,20,均,均,均,均,均,--,--,國英社
,,,--,--,--,--,--,--,,3 
032182,文化創意產業經營學系(青年儲蓄帳戶組),2,均,均,--,--,均,--,--,--
,,,--,--,--,--,--,--,,--
032192,數學暨資訊教育學系數學組,14,均,--,均,--,--,--,--,--
,,,--,--,3,--,--,--,,--
032202,數學暨資訊教育學系人工智慧與資訊教育組,11,--,均,均,--,--,--,--,--
,,,5,5,3.5,--,--,--,,--
032222,數學暨資訊教育學系人工智慧與資訊教育組(公費生A組),2,前,前,前,--,--,--,--,--
,,,4,5,3,--,--,--,,--
032232,數學暨資訊教育學系人工智慧與資訊教育組(公費生B組),1,前,頂,頂,--,--,--,--,--
,,,5,4,3,--,--,--,,--
032242,自然科學教育學系,30,均,均,均,--,--,均,--,--
,,,--,--,5,--,--,3,,--
032252,自然科學教育學系(芝山組),2,--,--,均,--,--,均,--,數A自
,,,--,--,--,--,--,--,,5 
032262,資訊科學系,24,均,均,均,--,--,均,--,--
,,,--,--,3,--,--,5,,--
032272,數位科技設計學系,20,均,均,--,均,--,--,--,國英數B
,,,--,4,--,3,--,--,,5 
032292,藝術與造形設計學系設計組,21,均,均,--,均,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
032342,體育學系(雙語教學組),8,--,均,--,--,--,--,--,國英數B
,,,--,4,--,--,--,--,,10 
