校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
033012,教育學系,49,後,--,--,--,--,--,--,國英數B
,,,4,5,--,4,--,--,,2.5 
033022,諮商與輔導學系,20,均,均,--,均,--,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
033032,特殊教育學系,17,後,--,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
033042,特殊教育學系(青年儲蓄帳戶組),1,均,均,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
033052,幼兒教育學系,17,均,後,--,--,後,--,--,國英社
,,,3,--,--,--,--,--,,4 
033062,文化與自然資源學系,17,均,後,--,--,均,--,--,國英社
,,,--,--,--,--,--,--,,3 
033072,國語文學系,37,均,--,--,--,--,--,--,國英社
,,,3,--,--,--,--,--,,5 
033082,英語學系,14,均,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
033092,應用數學系,16,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,--,,--
033102,數位學習科技學系,25,--,--,後,--,--,--,--,--
,,,--,3,5,--,--,--,,--
033112,數位學習科技學系(資安組),4,--,--,均,--,--,--,--,--
,,,--,--,6,--,--,--,,--
033122,材料科學系,15,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
033132,資訊工程學系,15,均,均,均,--,--,--,--,國英數A
,,,--,6,3,--,--,--,,8 
033152,電機工程學系,18,--,--,均,--,--,--,--,--
,,,--,3,3,--,--,--,,--
033162,綠色能源科技學系,21,--,--,後,--,--,--,--,--
,,,7,5,3,--,--,--,,--
033172,生物科技學系,14,--,--,--,--,--,底,--,--
,,,7,--,--,--,--,3,,--
033182,生態暨環境資源學系,17,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
033202,行政管理學系,20,均,均,--,--,--,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
033212,經營與管理學系,13,--,均,--,--,--,--,--,國英數B
,,,--,3.5,--,--,--,--,,6 
033232,音樂學系(B組),8,--,--,--,--,--,--,--,--
,,,10,10,--,--,--,--,,--
