校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
034012,應用數學系數學科學組,15,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,--,,--
034022,應用數學系統計科學組,16,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,--,,--
034032,物理學系物理組,16,--,--,--,--,--,均,--,--
,,,--,--,--,--,--,3,,--
034042,物理學系奈米與光電科學組,14,--,--,--,--,--,均,--,--
,,,--,--,--,--,--,3.5,,--
034052,化學系,26,--,--,--,--,--,均,--,--
,,,--,--,6,--,--,3,,--
034062,生化暨分子醫學科學系,20,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,3,,--
034072,資訊工程學系資工組,21,--,--,均,--,--,--,--,--
,,,--,5,3,--,--,--,,--
034092,資訊工程學系資工組(資安組),4,--,--,均,--,--,--,--,--
,,,--,8,5,--,--,--,,--
034102,資訊工程學系國際組,7,--,--,均,--,--,--,--,--
,,,--,7,8,--,--,--,,--
034112,資訊工程學系國際組(資安組),2,--,--,均,--,--,--,--,--
,,,--,10,14,--,--,--,,--
034122,電機工程學系智慧系統組,24,--,--,均,--,--,--,--,英數A自
,,,--,--,3,--,--,--,,4 
034132,電機工程學系半導體工程組,12,--,--,--,--,--,均,--,英數A自
,,,--,--,--,--,--,4,,5 
034142,材料科學與工程學系,27,--,--,--,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3 
034152,光電工程學系,23,--,--,--,--,--,均,--,國英數A自
,,,--,--,--,--,--,3,,4 
034162,理工學院大數據科學國際學士班,9,--,--,均,--,--,--,--,--
,,,--,6,5,--,--,--,,--
034172,企業管理學系,23,--,均,--,--,--,--,--,--
,,,--,6,--,3,--,--,,--
034182,會計學系,26,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
034192,資訊管理學系人工智慧與大數據組,13,均,--,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3.5 
034202,資訊管理學系智慧商務與知識管理組,13,均,--,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3.5 
034212,資訊管理學系(資安組),5,均,--,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,6 
034222,國際企業學系,20,--,均,--,--,--,--,--,--
,,,--,6,--,3,--,--,,--
034232,財務金融學系,23,--,均,--,--,--,--,--,國英數B
,,,--,3,--,--,--,--,,8 
034242,觀光暨休閒遊憩學系,22,均,--,--,--,--,--,--,英社
,,,8,--,--,--,--,--,,3 
034252,管理學院管理科學與財金國際學士學位學程,7,--,均,--,--,--,--,--,國英數B
,,,--,8,--,--,--,--,,7 
034262,管理學院會計與資訊管理國際學士班智慧會計與風險管理組,5,--,均,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,6 
034272,管理學院會計與資訊管理國際學士班會計資訊與電腦稽核組,5,--,均,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,6 
034282,管理學院數位行銷與服務創新國際學士班,4,--,均,--,--,--,--,--,--
,,,--,6,--,10,--,--,,--
034292,華文文學系,19,均,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
034302,中國語文學系,17,均,--,--,--,均,--,--,--
,,,3,--,--,--,3,--,,--
034312,英美語文學系,17,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
034322,英美語文學系(公費生),1,均,前,--,--,--,--,--,--
,,,--,5,--,--,--,--,,--
034332,臺灣文化學系,19,--,--,--,--,均,--,--,--
,,,--,--,--,--,3,--,,--
034342,歷史學系,23,--,--,--,--,均,--,--,--
,,,--,--,--,--,3,--,,--
034352,經濟學系,24,--,--,--,--,均,--,--,--
,,,--,6,--,3,--,--,,--
034362,諮商與臨床心理學系,28,--,均,--,均,--,--,--,--
,,,--,6,--,3,--,--,,--
034372,社會學系,16,--,--,--,--,均,--,--,國社
,,,--,--,--,--,3,--,,10 
034382,公共行政學系,14,--,--,--,--,均,--,--,--
,,,3.5,--,--,--,6,--,,--
034392,法律學系,13,均,--,--,--,均,--,--,國英社
,,,5,--,--,--,--,--,,3.5 
034402,教育與潛能開發學系,21,均,--,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
034412,教育行政與管理學系,18,均,--,--,--,均,--,--,--
,,,3,--,--,--,5,--,,--
034422,特殊教育學系,16,均,--,--,--,--,--,--,--
,,,6,--,--,--,3,--,,--
034432,幼兒教育學系,18,均,--,--,--,--,--,--,--
,,,6,--,--,--,3,--,,--
034442,族群關係與文化學系,13,--,--,--,--,均,--,--,國英社
,,,--,--,--,--,--,--,,3.5 
034452,民族語言與傳播學系,11,--,--,--,--,均,--,--,--
,,,4.5,--,--,--,9,--,,--
034462,民族發展與社會工作學系民族發展組,5,--,--,--,--,均,--,--,--
,,,9,--,--,--,10,--,,--
034472,民族發展與社會工作學系社會工作組,5,--,--,--,--,均,--,--,--
,,,9,--,--,--,10,--,,--
034482,原住民族樂舞與藝術學士學位學程,5,均,--,--,--,--,--,--,--
,,,--,--,--,--,10,--,,--
034492,自然資源與環境學系,26,--,--,--,--,--,均,--,--
,,,--,6,--,--,--,3,,--
034502,縱谷跨域書院學士學位學程,15,均,--,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
034522,音樂學系乙組,11,--,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
034542,藝術創意產業學系,24,--,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
