校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
035012,教育學系,35,均,均,--,底,--,--,--,--
,,,3,--,--,--,--,--,,--
035022,特殊教育學系,19,均,後,--,後,--,--,--,--
,,,3,5,--,6,--,--,,--
035032,幼兒教育學系,44,均,--,--,--,--,--,--,--
,,,3,4,--,--,10,--,,--
035042,心理與諮商學系,17,均,均,--,後,--,--,--,--
,,,3,--,--,--,--,--,,--
035052,學習與媒材設計學系,18,均,均,--,底,--,--,--,--
,,,3,--,--,--,--,--,,--
035062,中國語文學系,27,均,底,--,--,均,--,--,--
,,,3,--,--,--,--,--,,--
035072,英語教學系,23,均,均,--,--,--,--,B,--
,,,10,3,--,--,--,--,,--
035082,社會暨公共事務學系,19,均,均,--,--,均,--,--,--
,,,7,6,--,--,3,--,,--
035092,歷史與地理學系,14,均,均,--,均,均,--,--,--
,,,6,10,--,8,3.5,--,,--
035102,地球環境暨生物資源學系,20,--,--,--,--,--,均,--,國英自
,,,--,--,--,--,--,3,,5 
035112,應用物理暨化學系電子物理組,9,--,均,均,--,--,均,--,--
,,,--,8,5.5,--,--,10,,--
035122,應用物理暨化學系應用化學組,9,--,均,均,--,--,均,--,--
,,,--,8,5.5,--,--,10,,--
035132,數學系,18,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,--,,--
035142,資訊科學系,21,--,均,均,--,--,--,--,國英數A
,,,--,--,3,--,--,--,,5 
035162,資訊科學系(資安組),3,--,均,均,--,--,--,--,英數A
,,,--,--,5,--,--,--,,6 
035172,城市發展學系,14,均,--,--,--,--,--,--,--
,,,--,5,--,--,3.5,--,,--
035182,都會產業經營與行銷學系,14,均,--,--,--,--,--,--,--
,,,10,3.5,--,6,--,--,,--
035192,衛生福利學系,13,--,均,均,--,--,--,--,--
,,,--,3.5,10,--,--,--,,--
035232,休閒運動管理學系,28,--,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,8 
