校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
036012,教育學系,39,均,--,--,--,--,--,--,--
,,,5,3,--,4,--,--,,--
036022,幼兒教育學系,48,均,--,--,--,--,--,--,--
,,,3,4,--,--,4,--,,--
036032,特殊教育學系人社組,28,--,--,--,底,--,--,--,國英
,,,6,--,--,5,--,--,,3 
036042,特殊教育學系科技組,1,--,--,底,--,--,--,--,--
,,,30,--,--,--,--,--,,--
036052,教育心理與輔導學系,15,均,均,--,後,--,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
036062,中國語文學系,22,均,--,--,--,--,--,--,國英社
,,,4,--,--,--,--,--,,3 
036072,文化創意產業學系,21,均,後,--,--,均,--,--,--
,,,6,--,--,--,3,--,,--
036082,社會發展學系,20,--,--,--,--,均,--,--,國英社
,,,--,--,--,--,--,--,,3 
036092,英語學系,15,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
036102,應用英語學系,4,--,均,--,--,--,--,--,--
,,,--,12.5,--,--,--,--,,--
036112,應用日語學系,7,均,--,--,--,--,--,--,--
,,,7,--,--,--,--,--,,--
036122,視覺藝術學系數位媒體設計組,5,均,--,--,--,--,--,--,--
,,,12,10,--,--,--,--,,--
036132,商業大數據學系,28,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
036142,行銷與流通管理學系,15,--,底,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
036152,企業管理學系,12,--,底,--,--,--,--,--,--
,,,--,4,--,--,--,--,,--
036162,財務金融學系,17,--,--,--,--,底,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
036172,休閒事業經營學系,8,--,後,--,--,--,--,--,英數B
,,,--,--,--,--,--,--,,6 
036182,不動產經營學系,11,後,--,--,--,後,--,--,--
,,,4.5,--,--,--,4.5,--,,--
036192,國際經營與貿易學系,6,--,底,--,--,--,--,--,國英數B社
,,,--,--,--,--,--,--,,8 
036202,會計學系,33,--,後,--,--,--,--,--,--
,,,--,6,--,3,--,--,,--
036212,應用化學系,28,--,--,後,--,--,均,--,--
,,,--,--,3,--,--,5,,--
036222,應用數學系,25,--,--,均,--,--,底,--,--
,,,--,--,3,--,--,--,,--
036232,應用物理系半導體組,17,--,--,底,--,--,底,--,--
,,,--,--,3,--,--,5,,--
036242,應用物理系光電暨材料組,17,--,--,底,--,--,後,--,--
,,,--,--,3,--,--,5,,--
036252,科學傳播學系,19,--,底,--,--,--,底,--,英自
,,,--,--,--,--,--,--,,3 
036262,電腦科學與人工智慧學系,23,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
036272,智慧機器人學系,14,--,--,後,--,--,--,--,--
,,,--,--,--,--,--,3.5,,--
036282,資訊工程學系,10,後,後,後,--,--,--,--,國英數A
,,,5,15,15,--,--,--,,25 
036292,電腦與通訊學系,4,後,後,後,--,--,--,--,國英數A
,,,10,15,15,--,--,--,,25 
036302,資訊管理學系,8,均,後,--,後,--,--,--,--
,,,16,12,--,6,--,--,,--
036322,音樂學系B組,5,--,--,--,--,--,--,--,--
,,,15,15,--,--,--,--,,--
036342,體育學系,18,--,--,--,--,--,--,--,國英數B自
,,,--,--,--,--,--,--,,7 
