校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
038012,全校不分系學士學位學程,12,底,--,--,--,--,--,--,--
,,,15,4,--,--,--,--,,--
038022,教育學系,30,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
038032,教育學系(公費生),1,均,均,--,--,--,--,--,--
,,,30,15,--,--,--,--,,--
038042,幼兒教育學系,29,後,--,--,--,--,--,--,--
,,,4,5,--,3,--,--,,--
038052,特殊教育學系,29,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
038062,文化資源與休閒產業學系,28,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
038072,數位媒體與文教產業學系,26,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
038082,公共與文化事務學系,26,後,--,--,--,後,--,--,--
,,,4,--,--,--,3,--,,--
038092,身心整合與運動休閒產業學系,18,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
038102,英美語文學系,24,--,後,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
038112,英美語文學系(公費生),1,--,後,--,--,--,--,--,--
,,,15,10,--,--,--,--,,--
038122,華語文學系,22,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
038132,生命科學系,26,--,--,--,--,--,後,--,--
,,,--,--,--,--,--,3,,--
038142,資訊工程學系,44,--,--,底,--,--,--,--,英數A
,,,--,5,4,--,--,--,,3 
038152,資訊管理學系,22,--,底,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
038162,應用數學系,25,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
038172,應用科學系化學及奈米科學組,25,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
038182,應用科學系應用物理組,23,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
038192,綠能與資訊科技學系,19,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
038202,音樂學系,19,--,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
038222,體育學系,24,後,--,--,底,--,--,--,國英
,,,--,--,--,--,--,--,,5 
038232,競技與運動科學學系,7,底,--,--,--,--,--,--,--
,,,15,--,--,--,--,--,,--
