校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
039012,適應體育學系(青年儲蓄帳戶組),1,--,底,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
039022,休閒產業經營學系,15,--,--,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,3 
039032,運動保健學系(一般組),20,--,後,後,後,--,--,--,國英自
,,,--,--,--,--,--,--,,3 
039052,體育推廣學系(一般組),14,後,--,--,--,--,--,--,國英數B社
,,,--,--,--,--,--,--,,4 
039062,體育推廣學系(拔河組),5,--,--,--,--,--,--,--,國英社
,,,--,--,--,--,--,--,,6 
039082,適應體育學系(一般組),20,--,--,底,底,--,--,--,國英
,,,6,5,--,--,--,--,,7 
039092,適應體育學系(圍棋組),4,--,--,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,5 
