校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
040012,護理學系,28,--,底,--,--,--,底,--,國英自
,,,--,--,--,--,--,--,,3 
040022,管理學院學士班(主修:數位行銷與人力資源),54,--,--,--,底,--,--,--,--
,,,3,--,--,--,5,--,,--
040032,管理學院學士班(主修:財務金融),60,--,--,--,後,--,--,--,--
,,,--,3,--,3,--,--,,--
040042,管理學院學士班(主修:國際企業管理),54,--,後,--,--,--,--,--,--
,,,5,3,--,5,--,--,,--
040052,管理學院學士班(主修:會計),40,--,--,--,--,後,--,--,--
,,,3,5,--,8,--,--,,--
040062,管理學院學士班(英語專班),34,--,後,--,--,--,--,--,國英
,,,--,3,--,--,--,--,,5 
040072,應用外語學系,26,--,後,--,--,--,--,--,國英
,,,--,6,--,--,--,--,,3 
040082,中國語文學系,25,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
040092,社會暨政策科學學系,32,--,--,--,--,後,--,--,國數B社
,,,5,--,--,3,--,--,,8 
040102,人文社會學院英語學士班,13,--,後,--,--,--,--,--,國英
,,,3,8,--,--,--,--,,5 
040112,資訊管理學系,64,--,後,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
040122,資訊傳播學系科技組,25,後,--,--,--,--,--,--,--
,,,3,6,--,6,--,--,,--
040132,資訊傳播學系設計組(創作組),28,後,--,--,--,--,--,--,--
,,,3,6,--,8,--,--,,--
040142,資訊工程學系,82,--,後,--,--,--,--,--,國英數A
,,,--,--,6,--,--,--,,3 
040162,資訊學院英語學士班,16,--,後,--,--,--,--,--,--
,,,3,3,3,--,--,--,,--
040172,機械工程學系,47,--,--,後,--,--,--,--,國數A自
,,,--,--,--,--,--,--,,3 
040182,化學工程與材料科學學系,64,--,--,--,--,--,後,--,國自
,,,--,--,--,--,--,--,,3 
040192,工業工程與管理學系,72,--,--,後,後,--,--,--,--
,,,3,3,--,--,--,--,,--
040202,工程學院英語學士班,16,--,後,--,--,--,--,--,英自
,,,--,--,--,--,--,--,,3 
040212,電機工程學系(甲組),77,--,後,--,--,--,--,--,英數A自
,,,--,--,--,--,--,--,,3 
040232,電機工程學系(乙組),70,--,後,後,--,--,--,--,國自
,,,--,--,--,--,--,--,,3 
040242,電機工程學系(丙組),40,--,--,後,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
040252,電機通訊學院英語學士班,12,--,--,後,--,--,--,--,英自
,,,--,--,--,--,--,--,,3 
