校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
041012,中國文學系,18,均,均,--,--,--,--,--,--
,,,3,8,--,--,8,--,,--
041022,外國語文學系,14,均,前,--,--,--,--,--,--
,,,--,3.5,--,--,--,--,,--
041032,歷史學系,22,均,均,--,--,--,--,--,--
,,,8,10,--,--,3,--,,--
041042,哲學系,23,均,均,--,後,--,--,--,--
,,,--,3,--,5,--,--,,--
041052,數學系,19,--,後,--,--,--,--,--,--
,,,--,10,3,--,--,8,,--
041062,地球與環境科學系,24,--,均,均,--,--,均,--,--
,,,--,15,8,--,--,3,,--
041072,物理學系,30,--,均,均,--,--,均,--,--
,,,--,10,3,--,--,6,,--
041082,化學暨生物化學系,16,均,均,均,--,--,均,--,--
,,,--,5,3,--,--,5,,--
041092,生物醫學科學系,15,均,均,均,--,--,均,--,國英數A自
,,,--,8,--,--,--,6,,3 
041102,社會福利學系,20,--,--,--,--,均,--,--,國英
,,,--,--,--,3,10,--,,6 
041112,心理學系,20,均,均,均,--,--,均,--,--
,,,--,3,3,--,--,8,,--
041122,勞工關係學系,21,均,均,--,均,--,--,--,--
,,,3,3,--,4.5,--,--,,--
041132,政治學系,23,--,均,--,--,--,--,--,--
,,,--,3,--,8,5,--,,--
041142,傳播學系,23,均,均,--,--,均,--,--,--
,,,3,6,--,--,8,--,,--
041152,資訊工程學系,54,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
041162,電機工程學系,47,--,--,均,--,--,均,--,國英數A自
,,,--,--,10,--,--,--,,3 
041172,機械工程學系機械工程組,25,--,均,均,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3 
041182,機械工程學系光機電整合工程組,15,--,均,均,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3 
041192,化學工程學系,12,--,--,均,--,--,均,--,數A自
,,,--,--,12,--,--,6,,4 
041202,通訊工程學系,27,--,--,均,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3 
041212,經濟學系,36,均,均,--,前,--,--,--,--
,,,5,4,--,3,--,--,,--
041222,財務金融學系,29,--,前,--,均,--,--,--,國英數B
,,,--,3,--,4,--,--,,8 
041232,企業管理學系,42,均,前,--,均,--,--,--,--
,,,12,3,--,5,--,--,,--
041242,會計與資訊科技學系,23,均,前,--,均,--,--,--,--
,,,12,3,--,4,--,--,,--
041252,資訊管理學系,12,均,前,均,--,--,--,--,--
,,,--,4,10,--,--,--,,--
041272,法律學系法學組,15,前,前,--,均,前,--,--,國英數B社
,,,8,8,--,10,10,--,,3 
041282,法律學系法制組,13,前,前,--,均,前,--,--,國英數B社
,,,8,8,--,10,10,--,,3.5 
041292,財經法律學系,18,前,前,--,均,前,--,--,國英數B社
,,,4,4,--,8,8,--,,3 
041302,成人及繼續教育學系,14,均,均,--,--,均,--,--,--
,,,6,3.5,--,--,10,--,,--
041312,犯罪防治學系,13,前,前,--,均,均,--,--,--
,,,3.5,3.5,--,10,8,--,,--
041322,紫荊不分系學士學位學程,26,均,均,--,--,--,--,--,--
,,,3,8,--,--,--,--,,--
041332,嘉星招生甲組(工),13,--,--,均,--,--,均,--,國英數A自
,,,--,--,--,--,--,--,,3.5 
041342,嘉星招生乙組(管),13,後,均,--,均,--,--,--,--
,,,7,6,--,3.5,--,--,,--
041352,嘉星招生丙組(法),5,均,均,--,後,--,--,--,國英數B社
,,,12,12,--,15,--,--,,10 
041362,嘉星招生丁組(文),10,均,均,--,--,--,--,--,--
,,,5,5,--,--,8,--,,--
041372,嘉星招生戊組(理),7,--,均,--,--,--,均,--,--
,,,--,7,--,--,--,7,,--
041382,嘉星招生己組(社),5,底,均,--,均,--,--,--,--
,,,6,5,--,8,--,--,,--
041392,嘉星招生庚組(教),3,均,均,--,--,--,--,--,國英數B社
,,,12,12,--,--,15,--,,10 
041402,嘉星招生辛組(心),1,--,後,均,--,--,均,--,--
,,,--,10,5,--,--,5,,--
