校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
042012,機械與自動化工程學系(車輛科技與綠色能源組),9,--,--,底,--,--,--,--,--
,,,5.5,--,5.5,--,--,--,,--
042022,機械與自動化工程學系(智慧機械與系統設計組),9,底,--,--,--,--,--,--,--
,,,5.5,--,5.5,--,--,--,,--
042032,機械與自動化工程學系(機電整合與自動化組),8,--,--,底,--,--,--,--,--
,,,--,6,6,--,--,--,,--
042042,電機工程學系(半導體組),12,--,--,--,--,--,底,--,--
,,,--,4,--,--,--,4,,--
042052,電機工程學系(智慧系統組),10,--,底,--,--,--,--,--,--
,,,--,5,--,--,--,5,,--
042062,資訊工程學系(資訊工程組),11,底,--,--,--,--,--,--,--
,,,8,--,4.5,--,--,--,,--
042072,資訊工程學系(資訊應用組),10,底,--,--,--,--,--,--,--
,,,8,5,--,--,--,--,,--
042082,環境工程學系,15,底,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
042092,消防安全學士學位學程,17,底,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
042102,企業管理學系(經營管理組),8,--,--,--,--,底,--,--,--
,,,6,--,--,--,6,--,,--
042112,企業管理學系(數位行銷組),7,底,--,--,--,--,--,--,--
,,,20,--,--,--,7,--,,--
042122,會計與資訊管理學系(人工智慧商業應用組),7,底,--,--,--,--,--,--,--
,,,7,7,--,--,--,--,,--
042132,會計與資訊管理學系(人工智慧科技管理組),10,--,底,--,--,--,--,--,--
,,,5,5,--,--,--,--,,--
042142,會計與資訊管理學系(會計管理組),7,底,--,--,--,底,--,--,--
,,,7,--,--,--,7,--,,--
042152,會計與資訊管理學系(投資理財組),7,--,--,--,--,底,--,--,--
,,,7,--,--,--,7,--,,--
042162,財務金融學系(銀行專業組),7,底,--,--,--,--,--,--,--
,,,--,--,--,--,7,--,,--
042172,財務金融學系(智慧投資組),9,--,--,--,--,底,--,--,--
,,,20,--,--,--,5.5,--,,--
042182,財務金融學系(公司財務組),7,--,--,--,--,底,--,--,--
,,,--,--,--,--,7,--,,--
042192,英語學系,7,--,底,--,--,--,--,--,--
,,,7,7,--,--,--,--,,--
042202,應用日語學系(語文翻譯組),7,底,--,--,--,--,--,--,--
,,,--,--,--,--,7,--,,--
042212,應用日語學系(企業應用組),10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
042222,應用日語學系(商務觀光組),7,--,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,7 
042232,生物醫學系(生物醫藥組),14,--,底,--,--,--,--,--,--
,,,--,3.5,--,--,--,--,,--
042242,生物醫學系(檢驗醫學組),13,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
042252,藥用植物與食品保健學系(中藥保健組),15,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
042262,藥用植物與食品保健學系(食品科學組),14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
042272,觀光休閒學系(觀光旅遊組),11,--,--,--,--,底,--,--,--
,,,--,--,--,--,4.5,--,,--
042282,觀光休閒學系(休閒遊憩組),11,底,--,--,--,--,--,--,--
,,,4.5,--,--,--,4.5,--,,--
042292,餐旅管理學系,10,底,--,--,--,--,--,--,國社
,,,20,--,--,--,10,--,,5 
042302,烘焙暨飲料調製學士學位學程,12,底,--,--,--,--,--,--,國社
,,,15,--,--,--,10,--,,4 
042312,護理學系(國際組),10,--,底,--,--,--,--,--,--
,,,--,5,--,--,--,--,,--
042322,護理學系(臨床組),58,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
042332,視光學系(國際組),6,--,底,--,--,--,--,--,--
,,,--,8,--,--,--,--,,--
042342,視光學系(臨床組),14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
042352,醫學工程學系,8,--,--,底,--,--,--,--,--
,,,--,--,6,--,--,--,,--
042362,醫學工程學系(智慧醫療組),8,--,底,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
042372,職能治療學系(A組),19,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,3,,--
042382,職能治療學系(B組),7,--,後,--,--,--,--,--,--
,,,--,7,--,--,7,--,,--
042392,設計學系,36,--,--,--,--,--,--,--,--
,,,10,10,--,--,--,--,,--
042402,傳播藝術學士學位學程,17,底,--,--,--,--,--,--,--
,,,8,--,--,--,--,--,,--
042412,造形藝術學系(工藝文創組),10,--,--,--,--,--,--,--,--
,,,12,--,--,--,12,--,,--
042422,造形藝術學系(藝術創作組),11,--,--,--,--,--,--,--,--
,,,13,--,--,--,12,--,,--
042432,多媒體數位內容學士學位學程(動畫與影視特效組),24,--,--,--,--,--,--,--,--
,,,8,--,--,--,--,--,,--
042442,多媒體數位內容學士學位學程(遊戲與互動設計組),19,--,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,8 
042452,多媒體數位內容學士學位學程(動漫美術與模型製作組),20,--,--,--,--,--,--,--,--
,,,--,--,--,--,10,--,,--
042462,多媒體數位內容學士學位學程(漫畫創作組),10,--,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
042472,空間設計學系建築組,25,--,--,--,--,--,--,--,--
,,,10,--,--,--,12,--,,--
042482,空間設計學系室內設計組,25,--,--,--,--,--,--,--,--
,,,10,--,--,--,12,--,,--
042492,運動健康管理學系,30,--,--,--,--,--,--,--,--
,,,12,--,--,--,--,--,,--
