校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
043012,電機工程學系,69,--,--,底,底,--,--,--,--
,,,3,--,--,--,--,--,,--
043022,資訊工程學系(資訊工程組),50,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
043032,資訊工程學系(資訊應用組),21,--,--,--,底,--,--,--,--
,,,--,--,--,3,--,--,,--
043042,光電與材料工程學系(人工智慧應用組),9,--,--,--,--,底,--,--,--
,,,--,--,--,--,5.5,--,,--
043052,光電與材料工程學系(生醫光電組),9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
043062,光電與材料工程學系(半導體組),19,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
043072,工業管理學系(半導體產業組),18,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
043082,工業管理學系(智能應用組),13,--,--,--,--,底,--,--,--
,,,--,--,--,--,3.5,--,,--
043092,資訊管理學系(資訊系統設計組),8,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,6,,--
043102,資訊管理學系(資訊管理應用組),12,底,--,--,--,--,--,--,--
,,,4,--,--,--,--,--,,--
043112,資訊管理學系(智慧商務組),10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
043122,資訊管理學系(人工智慧與大數據應用組),8,--,底,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
043132,企業管理學系企業管理組,14,--,--,--,--,底,--,--,--
,,,--,--,--,--,3.5,--,,--
043142,企業管理學系智慧運輸與物流組,14,--,--,--,--,底,--,--,--
,,,--,--,--,--,3.5,--,,--
043152,財務管理學系財務金融管理組,9,--,--,--,--,底,--,--,--
,,,--,--,--,--,5.5,--,,--
043162,財務管理學系金融資訊管理組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
043172,財務管理學系會計資訊與稅務組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
043182,建築與都市計畫學系(第一類組),27,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
043192,建築與都市計畫學系(第二類組),20,--,--,--,底,--,--,--,--
,,,--,--,--,--,--,3,,--
043202,土木工程學系,24,--,--,底,--,--,--,--,--
,,,--,--,3,--,--,--,,--
043212,應用日語學系(商務觀光組),18,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
043222,應用日語學系(語文翻譯組),14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
043232,應用外語暨智慧商務學士學位學程,3,底,--,--,--,--,--,--,--
,,,16.5,--,--,--,--,--,,--
043242,國際事務暨智慧行銷學士學位學程,25,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
043252,觀光學院學士班(智慧旅館餐飲管理組),10,底,--,--,--,--,--,--,--
,,,5,--,--,--,5,--,,--
043262,觀光學院學士班(智慧會展活動管理組),10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
043272,觀光學院學士班(智慧觀光旅遊組),9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
043282,英國西英格蘭大學企業管理雙學士學位學程,2,--,底,--,--,--,--,--,--
,,,--,25,--,--,--,--,,--
043292,中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,1,--,底,--,--,--,--,--,--
,,,--,30,--,--,--,--,,--
043302,加州大學爾灣分校資訊管理與資料科學學士學位學程,2,--,均,--,--,--,--,--,--
,,,--,25,--,--,--,--,,--
043312,國際觀光與酒店管理雙學士學位學程,3,--,底,--,--,--,--,C,--
,,,--,16.5,--,--,--,--,,--
