校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
044012,智慧生活科技學系大數據與管理組,11,底,--,底,底,--,--,--,--
,,,3.5,--,--,--,--,--,,--
044022,智慧生活科技學系智慧產品開發組,11,底,--,底,底,--,--,--,--
,,,3.5,--,--,--,--,--,,--
044032,智慧生活設計學系空間設計組,15,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
044042,智慧生活設計學系創意產品與汽車設計組,10,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
044052,攝影與VR設計學系攝影與科技藝術組,15,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
044062,攝影與VR設計學系VR與互動媒體組,10,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
044072,美術與文創學系文創設計組,15,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
044082,佛教藝術學系佛學組,2,底,--,--,--,--,--,--,--
,,,25,--,--,--,--,--,,--
044092,佛教藝術學系藝術組,2,底,--,--,--,--,--,--,--
,,,25,--,--,--,--,--,,--
044102,智慧生活科技學系大數據與管理組(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
044112,智慧生活科技學系智慧產品開發組(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
