校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
045012,電機工程學系,95,--,--,後,--,--,--,--,--
,,,3,--,3,--,--,--,,--
045022,電子工程學系,55,--,--,後,--,--,--,--,--
,,,3,--,3,--,--,--,,--
045032,資訊工程學系資訊工程組,76,--,--,後,--,--,--,--,--
,,,--,4,3,--,--,--,,--
045042,資訊工程學系資訊應用組,10,--,--,--,後,--,--,--,--
,,,--,6,--,5,--,--,,--
045062,資訊工程學系(資安組),4,--,--,後,--,--,--,--,--
,,,--,14,12,--,--,--,,--
045072,智慧網路科技學系智慧軟體應用組,7,--,--,--,後,--,--,--,--
,,,7,--,--,--,--,--,,--
045082,智慧網路科技學系智慧網通科技組,11,--,--,後,--,--,--,--,--
,,,4.5,--,--,--,--,--,,--
045092,機械與自動化工程學系,40,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
045102,化學工程學系,52,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
045112,土木工程學系,33,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
045122,材料科學與工程學系,63,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
045132,資料科學與大數據分析學系,17,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
045142,生物醫學工程學系,56,--,--,後,後,--,--,--,--
,,,--,--,--,--,--,3,,--
045152,智慧科技英語學士學位學程,8,--,--,後,--,--,--,--,--
,,,--,7,6,--,--,--,,--
045162,半導體學士學位學程,26,--,後,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
045172,工業管理學系,17,後,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
045182,資訊管理學系,42,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
045192,企業管理學系,29,後,--,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
045202,財務金融管理學系,43,後,--,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
045212,會計學系,31,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
045222,國際商務學系,31,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
045232,公共政策與管理學系,17,--,--,--,--,後,--,--,--
,,,--,--,--,--,3,--,,--
045242,醫務管理學系,49,後,--,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
045252,健康管理學系,16,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
045262,餐旅管理學系,26,後,--,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
045272,運動科技與休閒管理學系,12,後,--,--,--,--,--,--,--
,,,4,4.5,--,--,--,--,,--
045282,廚藝暨美食學學系,25,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
045292,國際企業經營英語學士學位學程(國際學院),6,--,均,--,--,--,--,--,--
,,,--,8,--,--,--,--,,--
045302,財務與商業分析英語學士學位學程(國際學院),8,--,均,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
045312,智慧觀光餐旅管理英語學士學位學程(國際學院),8,--,均,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
045322,國際傳媒與娛樂管理學系(國際學院),6,--,均,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
045332,國際溝通暨應用英語學系,16,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
045342,應用日語學系,25,後,--,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
045352,大眾傳播學系,31,後,--,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
045362,創意整合設計學系,21,後,--,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
045372,電影與電視學系,26,後,--,--,--,--,--,--,--
,,,3,5,--,--,--,--,,--
045382,新媒體設計學系,14,後,--,--,--,--,--,--,--
,,,3.5,5,--,--,--,--,,--
045392,醫學科學與生物科技學系醫藥組,18,--,--,--,--,--,後,--,--
,,,--,5,--,--,--,3,,--
045402,醫學科學與生物科技學系生技組,20,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,5,,--
045412,營養學系,31,--,--,--,--,--,後,--,--
,,,--,--,--,--,--,3,,--
045422,護理學系,58,後,--,--,--,--,--,--,--
,,,5,--,--,--,--,3,,--
045432,醫學影像暨放射科學系,45,--,--,--,--,--,後,--,--
,,,--,5,6,--,--,3,,--
045442,物理治療學系,43,--,--,--,--,--,均,--,--
,,,--,6,--,--,--,3,,--
045452,職能治療學系,43,--,--,--,--,--,均,--,--
,,,--,3,--,--,--,7,,--
045462,醫學檢驗技術學系,43,--,--,--,--,--,後,--,--
,,,--,5,--,--,--,3,,--
045472,醫學系(公費生),13,前,前,前,--,--,前,--,--
,,,10,3.5,--,--,--,10,,--
