校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
046012,企業管理學系品牌行銷組(臺北校區),43,底,--,--,--,--,--,--,國英社
,,,--,--,--,--,3,--,,7 
046022,企業管理學系企業管理組(臺北校區),38,底,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
046032,企業管理學系數位經營組(臺北校區),31,底,--,--,--,--,--,--,國數B社
,,,--,--,--,--,3,--,,7 
046042,會計學系會計審計組(臺北校區),60,--,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
046052,會計學系稅務規劃組(臺北校區),60,--,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
046062,財務金融學系(臺北校區),110,底,--,--,--,--,--,--,--
,,,7,7,--,3,--,--,,--
046072,風險管理與保險學系保險金融行銷組(臺北校區),54,底,--,--,--,--,--,--,--
,,,10,--,--,--,3,--,,--
046082,風險管理與保險學系資訊應用組(臺北校區),18,底,--,--,底,--,--,--,--
,,,3,--,--,10,8,--,,--
046092,國際企業學系跨境電商經營組(臺北校區),55,--,--,--,--,底,--,--,--
,,,10,--,--,--,3,--,,--
046102,國際企業學系外貿行銷管理組(臺北校區),55,--,--,--,--,底,--,--,--
,,,3,--,--,--,10,--,,--
046112,新媒體暨傳播管理學系(臺北校區),33,後,底,--,--,--,--,--,--
,,,4,5,--,3,--,--,,--
046122,廣播電視學系(臺北校區),38,底,--,--,--,底,--,--,--
,,,5,--,--,--,3,--,,--
046132,廣告暨策略行銷學系(臺北校區),33,--,底,--,--,--,--,--,國社
,,,--,--,--,--,3,--,,8 
046142,影音新聞暨社群傳播學系(臺北校區),20,底,底,--,--,--,--,--,國英
,,,--,3,--,--,--,--,,8 
046152,法律學系(臺北校區),59,後,--,--,--,後,--,--,--
,,,6,--,--,--,3,--,,--
046162,財金法律學系(臺北校區),29,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
046172,國際企業與貿易學士學位學程(全英語授課．臺北校區),25,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
046182,新聞與大眾傳播學士學位學程(全英語授課．臺北校區),13,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
