校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
047012,新聞學系,70,後,--,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
047022,廣播電視電影學系廣播組,68,均,--,--,--,--,--,--,--
,,,5,3,--,--,3,--,,--
047032,廣播電視電影學系電視組,89,均,--,--,--,--,--,--,--
,,,5,3,--,--,3,--,,--
047042,廣播電視電影學系電影組,68,均,--,--,--,--,--,--,--
,,,5,3,--,--,3,--,,--
047052,圖文傳播學系,65,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
047062,公共關係暨廣告學系,107,後,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
047072,口語傳播暨社群媒體學系,66,後,--,--,--,--,--,--,--
,,,3,--,--,--,3,--,,--
047082,資訊傳播學系,49,後,後,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
047092,數位多媒體設計學系,58,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
047102,傳播管理學系,88,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
047112,資訊管理學系資訊管理組,32,底,--,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
047122,資訊管理學系資訊科技組,17,底,--,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
047132,資訊管理學系智慧網路應用組,4,底,--,--,--,--,--,--,--
,,,12.5,12.5,--,--,--,--,,--
047142,財務金融學系,22,--,--,--,底,--,--,--,--
,,,8,--,--,3,3,--,,--
047152,行政管理學系,15,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
047162,觀光學系餐旅經營管理組,11,--,--,--,--,底,--,--,--
,,,--,--,--,--,4.5,--,,--
047172,觀光學系旅遊暨休閒事業管理組,13,--,--,--,--,底,--,--,--
,,,--,--,--,--,3.5,--,,--
047182,觀光學系觀光規劃暨資源管理組,4,--,--,--,--,底,--,--,--
,,,--,--,--,--,12.5,--,,--
047192,經濟學系,21,--,--,--,底,--,--,--,--
,,,--,--,--,3,4,--,,--
047202,企業管理學系,22,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
047212,社會心理學系,7,底,--,--,--,--,--,--,--
,,,9,7,--,--,7,--,,--
047222,英語暨傳播應用學系,7,--,均,--,--,--,--,--,--
,,,--,7,--,--,--,--,,--
047232,中國文學系,4,後,--,--,--,底,--,--,--
,,,12.5,--,--,--,12.5,--,,--
047242,日本語文學系,21,底,--,--,--,--,--,--,--
,,,3,--,--,--,5,--,,--
047252,法律學系,61,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
