校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
050012,食品營養與保健生技學系(臺北校區),44,--,--,--,--,--,底,--,國自
,,,--,--,--,--,--,--,,3 
050022,食品營養與保健生技學系食品科技與法律組(臺北校區),10,底,--,--,--,--,--,--,國自
,,,--,--,--,--,--,--,,5 
050032,社會工作學系兒少、家庭與性別組(臺北校區),25,--,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,3 
050042,社會工作學系老人、長照與身障組(臺北校區),10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
050052,社會工作學系醫務與心理衛生組(臺北校區),10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
050062,家庭研究與兒童發展學系(臺北校區),22,底,--,--,--,--,--,--,--
,,,3,7,--,--,--,--,,--
050072,餐飲管理學系廚藝組(臺北校區),10,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,5 
050082,餐飲管理學系餐旅組(臺北校區),10,--,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,5 
050092,餐飲管理學系青年儲蓄帳戶組(臺北校區),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
050102,音樂學系B組(臺北校區),1,底,--,--,--,--,--,--,--
,,,30,--,--,--,--,--,,--
050112,法律學系(臺北校區),21,後,後,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
050122,服裝設計學系(臺北校區),66,--,後,--,--,--,--,--,國英數B社
,,,--,--,--,--,--,--,,3 
050132,媒體傳達設計學系動畫影像設計組(臺北校區),23,底,後,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
050142,媒體傳達設計學系創意媒體設計組(臺北校區),23,底,後,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
050152,工業產品設計學系(臺北校區),39,--,後,--,--,--,--,--,國英數B
,,,--,3,--,--,--,--,,5 
050162,建築設計學系人文藝術組(臺北校區),11,後,--,--,--,--,--,--,國英社
,,,--,--,--,--,--,--,,4.5 
050172,建築設計學系創意科技組(臺北校區),11,--,--,--,--,--,後,--,國英自
,,,--,--,--,--,--,4.5,,9 
050182,建築職人學士學位學程(臺北校區),26,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
050192,會計學系會計審計組(臺北校區),24,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
050202,會計學系永續會計組(臺北校區),12,--,--,--,--,底,--,--,--
,,,4,--,--,--,4,--,,--
050212,國際經營與貿易學系貿易經營組(臺北校區),8,底,--,--,--,--,--,--,--
,,,12,6,--,--,--,--,,--
050222,國際經營與貿易學系跨境行銷組(臺北校區),8,--,底,--,--,--,--,--,--
,,,12,6,--,--,--,--,,--
050232,國際經營與貿易學系貿易金融組(臺北校區),8,底,--,--,--,--,--,--,--
,,,12,--,--,--,6,--,,--
050242,國際經營與貿易學系智慧物流組(臺北校區),8,--,--,--,--,底,--,--,--
,,,12,--,--,--,6,--,,--
050252,企業管理學系(臺北校區),45,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
050262,財務金融學系(臺北校區),42,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
050272,財務金融學系數位行銷設計組(臺北校區),13,底,--,--,--,--,--,--,國自
,,,--,--,--,--,--,--,,3.5 
050282,風險管理與保險學系(臺北校區),55,--,--,--,--,底,--,--,--
,,,--,3,--,--,3,--,,--
050292,應用外語學系(臺北校區),24,--,後,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
050302,應用外語學系數位應用組(臺北校區),12,底,後,--,--,--,--,--,--
,,,--,4,--,--,--,--,,--
050312,資訊科技與管理學系人工智慧與大數據組(臺北校區),20,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
050322,資訊科技與管理學系雲端運算與物聯網組(臺北校區),11,底,--,--,--,--,--,--,國自
,,,--,--,--,--,--,--,,4.5 
050332,資訊科技與管理學系數位媒體設計組(臺北校區),11,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,4.5 
050352,資訊科技與管理學系(資安組)(臺北校區),3,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,16.5,,--
050362,國際企業英語學士學位學程(社會組)(臺北校區),14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
050372,國際企業英語學士學位學程(自然組)(臺北校區),6,--,底,--,--,--,--,--,--
,,,--,8,--,--,--,--,,--
050382,智慧服務管理英語學士學位學程(臺北校區),19,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
050392,東南亞智慧商務學士學位學程語言文化組(高雄校區),9,--,底,--,--,--,--,--,--
,,,--,5.5,--,--,--,--,,--
050402,東南亞智慧商務學士學位學程雲端商務組(高雄校區),8,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,6,,--
050412,東南亞智慧商務學士學位學程行銷流通管理組(高雄校區),9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
050422,會計暨稅務學系綠色會計組(高雄校區),9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
050432,會計暨稅務學系財務金融組(高雄校區),14,--,--,--,--,底,--,--,--
,,,15,--,--,--,3.5,--,,--
050442,會計暨稅務學系會計AI組(高雄校區),14,--,--,底,底,--,--,--,--
,,,3.5,--,--,--,--,--,,--
050452,會計暨稅務學系財富管理組(高雄校區),11,--,--,--,--,底,--,--,--
,,,--,--,--,--,4.5,--,,--
050462,國際企業管理學系外匯數位金融組(高雄校區),12,--,--,--,底,--,--,--,--
,,,9,--,--,4,--,--,,--
050472,國際企業管理學系日韓商務與貿易組(高雄校區),11,底,--,--,--,--,--,--,--
,,,4.5,--,--,--,--,--,,--
050482,國際企業管理學系品牌行銷企劃組(高雄校區),11,--,--,--,--,底,--,--,--
,,,--,--,--,--,4.5,--,,--
050492,國際企業管理學系德國商務與投資組(高雄校區),12,--,底,--,--,--,--,--,--
,,,--,4,--,--,--,--,,--
050502,金融管理學系數位金融組(高雄校區),12,--,底,--,--,--,--,--,--
,,,--,4,--,--,--,--,,--
