校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
051012,企業管理學系行銷組,7,底,--,--,--,--,--,--,--
,,,15,--,--,--,7,--,,--
051022,企業管理學系數位經營組,8,--,--,--,--,底,--,--,--
,,,15,--,--,--,6,--,,--
051032,企業管理學系企業永續發展組,7,底,--,--,--,--,--,--,--
,,,7,--,--,--,--,--,,--
051042,企業管理學系創新應用組,7,--,--,--,--,底,--,--,--
,,,--,--,--,--,7,--,,--
051052,國際企業學系跨境行銷組,10,底,--,--,--,--,--,--,--
,,,15,5,--,--,--,--,,--
051062,國際企業學系金融貿易組,8,--,--,--,--,底,--,--,--
,,,15,--,--,--,6,--,,--
051072,國際企業學系航運物流組,10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
051082,會計資訊學系會計應用組,8,底,--,--,--,--,--,--,--
,,,9,--,--,--,6,--,,--
051092,會計資訊學系稅務應用組,8,底,--,--,--,--,--,--,--
,,,6,--,--,--,--,--,,--
051102,會計資訊學系產業實習組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
051112,航運管理學系,61,底,--,--,--,--,--,--,--
,,,5,4,--,--,3,--,,--
051122,土地管理與開發學系投資經營組,10,底,--,--,--,--,--,--,--
,,,7,--,--,--,5,--,,--
051132,土地管理與開發學系開發規劃組,9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
051142,財務金融學系金融科技組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
051152,財務金融學系投資資訊組,9,--,底,--,--,--,--,--,--
,,,--,5.5,--,--,--,--,,--
051162,財務金融學系金融理財組,8,底,--,--,--,--,--,--,--
,,,6,--,--,--,--,--,,--
051172,財務金融學系產業實習組,10,--,--,--,--,底,--,--,--
,,,5,--,--,--,10,--,,--
051182,觀光與餐飲管理學系觀光旅遊組,7,底,--,--,--,--,--,--,--
,,,10,--,--,--,7,--,,--
051192,觀光與餐飲管理學系餐酒廚藝組,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
051202,觀光與餐飲管理學系國際雙聯組,1,--,底,--,--,--,--,--,--
,,,--,30,--,--,--,--,,--
051212,觀光與餐飲管理學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
051222,醫務管理學系醫療機構管理組,6,底,--,--,--,--,--,--,--
,,,15,8,--,--,--,--,,--
