校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
058012,中國語文學系,28,前,--,--,--,均,--,--,--
,,,3,--,--,--,6,--,,--
058022,外國語文學系,18,均,均,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
058032,社會政策與社會工作學系,18,--,--,--,--,均,--,--,國英
,,,--,--,--,--,6,--,,3 
058042,公共行政與政策學系,26,--,--,--,均,均,--,--,--
,,,5,3,--,--,--,--,,--
058052,歷史學系,19,--,--,--,--,均,--,--,--
,,,7,--,--,--,3,--,,--
058062,東南亞學系,22,--,均,--,--,均,--,--,--
,,,--,3,--,--,5,--,,--
058072,國際企業學系,24,--,均,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
058082,經濟學系,29,--,--,後,均,--,--,--,國英
,,,--,--,--,--,--,--,,3 
058092,資訊管理學系,25,--,均,--,均,--,--,--,--
,,,--,6,--,3,--,--,,--
058112,財務金融學系,26,--,--,--,均,--,--,--,英數B
,,,--,--,--,--,--,--,,3 
058122,觀光休閒與餐旅管理學系觀光休閒組,11,均,--,--,--,--,--,--,--
,,,6.5,4.5,--,--,--,--,,--
058132,觀光休閒與餐旅管理學系餐旅管理組,9,均,--,--,--,--,--,--,--
,,,6.5,5.5,--,--,--,--,,--
058142,管理學院學士班,10,--,均,--,--,--,--,--,英數B
,,,--,--,--,--,--,--,,5 
058152,國際文教與比較教育學系,21,均,均,--,--,--,--,--,--
,,,6,3,--,--,--,--,,--
058162,教育政策與行政學系,20,均,--,--,--,--,--,--,--
,,,3,--,--,--,6,--,,--
058172,諮商心理與人力資源發展學系諮商心理組,11,--,均,--,均,--,--,--,--
,,,--,4.5,--,6,10,--,,--
058182,諮商心理與人力資源發展學系終身學習與人力資源發展組,11,均,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,4.5 
058192,教育學院學士班教育科技與數位學習組,5,均,均,--,--,--,--,--,--
,,,6,6,--,--,3,--,,--
058202,教育學院學士班教育心理與輔導組,5,--,均,--,--,均,--,--,--
,,,4,6,--,--,6,--,,--
058212,資訊工程學系,17,--,--,均,--,--,--,--,--
,,,--,5,3,--,--,--,,--
058242,土木工程學系,20,--,--,後,--,--,--,--,--
,,,--,--,7,--,--,3,,--
058252,電機工程學系,30,--,--,--,--,--,均,--,國英自
,,,--,3,--,--,--,3,,6 
058262,應用化學系,22,--,--,--,--,--,均,--,--
,,,--,--,6,--,--,3,,--
058272,應用材料及光電工程學系,22,--,--,--,--,--,均,--,--
,,,--,--,3,--,--,7,,--
058282,科技學院學士班,10,--,--,--,--,--,均,--,--
,,,--,--,5,--,--,7,,--
058302,護理學系,14,--,--,--,--,--,後,--,英自
,,,--,--,--,--,--,--,,3.5 
