校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
059012,財務金融學系,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
059022,財務金融學系證券投資組,10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
059032,財務金融學系理財規劃組,10,--,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,5 
059042,企業管理學系數位行銷組,8,底,--,--,--,--,--,--,--
,,,6,--,--,--,--,--,,--
059052,企業管理學系創新創業組,7,--,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,7 
059062,企業管理學系經營管理組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
059072,企業管理學系服務業管理組,7,底,--,--,--,--,--,--,--
,,,7,--,--,--,--,--,,--
059082,文化創意事業管理學系,30,--,--,--,--,底,--,--,--
,,,3,--,--,--,6,--,,--
059092,旅遊管理學系,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
059102,旅遊管理學系旅館管理組,7,--,--,--,--,底,--,--,--
,,,7,--,--,--,--,--,,--
059112,旅遊管理學系觀光遊憩組,7,底,--,--,--,--,--,--,--
,,,--,--,--,--,7,--,,--
059122,旅遊管理學系餐宴廚藝組,9,--,--,--,--,底,--,--,--
,,,--,--,--,--,5.5,--,,--
059132,管理學院國際企業學士學位學程,10,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,5 
059142,管理學院國際企業學士學位學程國際數位行銷組,9,--,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,5.5 
059152,生死學系社會工作組,32,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
059162,生死學系殯葬服務組,34,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
059172,生死學系諮商組,29,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
059182,幼兒教育學系,34,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
059192,文學系,15,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
059202,文學系藝文創作組,16,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
059212,外國語文學系,28,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
059222,應用社會學系社會學組研究調查組,6,--,--,--,--,底,--,--,--
,,,--,--,--,--,8,--,,--
059232,應用社會學系社會學組社區實務組,6,底,--,--,--,--,--,--,--
,,,8,--,--,--,--,--,,--
059242,應用社會學系社會工作組,10,底,--,--,--,底,--,--,--
,,,5,--,--,--,--,--,,--
059252,應用社會學系社會工作組長期照顧管理組,7,--,--,--,--,底,--,--,--
,,,--,--,--,--,7,--,,--
059262,應用社會學系社會工作組兒少婦家庭組,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
059272,傳播學系廣告公關新聞組,12,底,--,--,--,--,--,--,--
,,,4,--,--,--,--,--,,--
059282,傳播學系數位影音製作組,11,--,--,--,--,底,--,--,--
,,,--,--,--,--,4.5,--,,--
059292,傳播學系影劇表演藝術組,11,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,4.5 
059302,國際事務與企業學系,10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
059312,國際事務與企業學系外交與國際事務組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
059322,國際事務與企業學系公共事務與管理組,12,底,--,--,--,--,--,--,--
,,,4,--,--,--,--,--,,--
059332,視覺藝術與設計學系繪畫文創組,6,底,--,--,--,--,--,--,--
,,,8,--,--,--,--,--,,--
059342,視覺藝術與設計學系數位設計組,9,--,--,--,--,底,--,--,--
,,,--,--,--,--,5.5,--,,--
059352,民族音樂學系展演創作組,3,底,--,--,--,--,--,--,--
,,,16.5,--,--,--,--,--,,--
059362,民族音樂學系藝術管理組,3,--,--,--,--,底,--,--,--
,,,--,--,--,--,16.5,--,,--
059372,建築學系社會組,15,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
059382,建築學系自然組,15,底,--,--,--,--,--,--,國自
,,,--,--,--,--,--,--,,3 
059392,產品與室內設計學系,5,底,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
059402,產品與室內設計學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
059412,資訊工程學系,20,--,--,底,底,--,--,--,--
,,,3,--,--,--,--,--,,--
059422,資訊工程學系人工智慧組,14,--,--,底,底,--,--,--,--
,,,--,--,--,--,--,3.5,,--
059432,資訊工程學系資訊電子組,8,--,--,底,底,--,--,--,國自
,,,--,--,--,--,--,--,,6 
059442,資訊工程學系互動遊戲設計組,14,--,--,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,3 
059452,自然生物科技學系,12,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,4,,--
059462,自然生物科技學系生技療癒組,10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
059472,自然生物科技學系產品研發組,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
059482,資訊管理學系,30,底,--,--,--,--,--,--,國社
,,,8,--,--,--,--,--,,3 
