校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
060012,體育學系(一般組),36,--,底,--,--,--,--,--,--
,,,3,3,--,3,--,--,,--
060022,休閒運動學系(一般組),9,底,底,--,--,底,--,--,--
,,,5,5,--,--,5,--,,--
060032,運動事業管理學系,16,後,後,--,--,後,--,--,--
,,,3,3,--,--,--,--,,--
060042,運動健康科學學系,29,後,後,--,--,--,後,--,--
,,,3,3,--,--,--,3,,--
060052,運動資訊與傳播學系,15,後,後,--,後,後,--,--,--
,,,3,3,--,3,3,--,,--
060062,體育學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
060072,體育學系(運動專長組),33,--,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,10 
060082,休閒運動學系(休閒運動組),2,底,底,--,--,底,--,--,--
,,,5,5,--,--,5,--,,--
