校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
065012,社會工作學系,18,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
065022,應用心理學系,28,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
065032,法律學系,19,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
065042,宗教與文化學系,2,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
065052,大眾傳播學系,15,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
065062,影劇藝術學系,9,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
065072,應用日語學系,17,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
065082,餐旅管理學系,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
065092,視覺傳達設計學系,14,--,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
065102,藝術與創意設計學系,14,--,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
065112,時尚設計學系,11,--,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
