校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
079012,人文與資訊學系一般組,7,底,--,--,--,--,--,--,--
,,,7,--,--,--,--,--,,--
079022,人文與資訊學系行銷實務組,6,底,--,--,--,底,--,--,--
,,,8,--,--,--,8,--,,--
079032,人文與資訊學系數位應用組,7,--,--,--,--,底,--,--,--
,,,--,--,--,--,7,--,,--
079042,宗教文化與資訊管理學系,8,底,--,--,--,--,--,--,--
,,,6,--,--,--,--,--,,--
079052,宗教文化與資訊管理學系生命關懷組,7,底,--,--,--,--,--,--,--
,,,7,--,--,--,7,--,,--
079062,宗教文化與資訊管理學系資訊與文創組,6,--,--,--,--,底,--,--,--
,,,8,--,--,--,8,--,,--
079072,宗教文化與資訊管理學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
079082,英美語文學系英語暨華語教學組,18,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
079092,英美語文學系傳播暨文化經貿組,2,--,--,--,--,底,--,--,--
,,,--,--,--,--,25,--,,--
079102,應用日語學系,25,底,--,--,--,--,--,--,--
,,,4,4,--,--,3,--,,--
079112,應用日語學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
079122,台灣文學系一般組,9,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
079132,台灣文學系語文傳播組,9,--,--,--,--,底,--,--,--
,,,6,--,--,--,5,--,,--
079142,統計資訊與精算學系一般組,10,--,--,--,底,--,--,--,--
,,,--,--,--,5,--,--,,--
079152,統計資訊與精算學系商業應用組,10,底,--,--,--,--,--,--,--
,,,5,--,--,--,--,--,,--
079162,統計資訊與精算學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
079172,資訊工程學系資訊安全應用組,6,底,--,--,--,--,--,--,--
,,,8,--,--,--,8,--,,--
079182,資訊工程學系科技應用組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
079192,資訊工程學系人工智慧應用組,6,--,--,--,底,--,--,--,--
,,,8,--,--,--,--,--,,--
079202,資訊工程學系多媒體應用組,7,底,--,--,--,--,--,--,--
,,,7,--,--,--,--,--,,--
079212,資訊工程學系遊戲設計組,7,--,--,--,底,--,--,--,--
,,,--,--,--,--,7,--,,--
079222,法律學系,34,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
079232,法律學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
079242,會計資訊學系,18,--,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
079252,財務金融學系,21,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
079262,國際企業與貿易學系,20,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
079272,國際企業與貿易學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
079282,理財與稅務規劃學系理財組,10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
079292,理財與稅務規劃學系稅務規劃組,9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
079302,經濟學系財經大數據組,9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,--,--,,--
079312,經濟學系應用經濟組,10,--,--,--,--,底,--,--,--
,,,--,--,--,--,5,--,,--
079322,工業管理與經營資訊學系人工智慧應用組,8,--,底,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
079332,工業管理與經營資訊學系科技創新製造組,4,底,--,--,--,--,--,--,--
,,,12,--,--,--,--,--,,--
079342,工業管理與經營資訊學系智慧經營管理組,6,--,--,--,--,底,--,--,--
,,,--,--,--,--,8,--,,--
079352,企業管理學系,19,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
079362,企業管理學系(青年儲蓄帳戶組),1,--,--,--,--,底,--,--,--
,,,--,--,--,--,--,--,,--
079372,資訊管理學系資安管理組,9,底,--,--,--,--,--,--,--
,,,5.5,--,--,--,5.5,--,,--
079382,資訊管理學系電商行銷組,9,--,--,--,--,底,--,--,--
,,,5.5,--,--,--,5.5,--,,--
079392,運動管理學系,28,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
079402,運動資訊傳播學系,28,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
079412,觀光事業學系旅遊管理組,8,--,--,--,--,底,--,--,--
,,,6,--,--,--,8,--,,--
079422,觀光事業學系餐旅管理組,6,底,--,--,--,--,--,--,--
,,,6,--,--,--,8,--,,--
079432,觀光事業學系休閒遊憩組,6,底,--,--,--,--,--,--,--
,,,--,8,--,--,6,--,,--
079442,觀光事業學系產業經營組,8,--,--,--,--,底,--,--,--
,,,--,--,--,--,6,--,,--
079452,觀光事業學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
079462,觀光數位知識學系,20,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
079472,觀光數位知識學系(青年儲蓄帳戶組),1,--,--,--,--,底,--,--,--
,,,--,--,--,--,--,--,,--
079482,航空事業學系,23,底,--,--,--,--,--,--,--
,,,3,3,--,--,3,--,,--
079492,音樂應用學系-行政管理組,7,底,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
079512,音樂應用學系-演奏教學B組,4,底,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
