校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
099012,法律學系法學組,26,前,前,--,均,頂,--,--,國英數B社
,,,3,3.5,--,4,--,--,,4.5 
099022,法律學系法學組(飛鳶組),1,前,前,--,均,前,--,--,國英數B社
,,,3,5,--,7,--,--,,9 
099032,法律學系司法組,26,前,前,--,均,頂,--,--,國英數B社
,,,3,3.5,--,4,--,--,,4.5 
099042,法律學系司法組(飛鳶組),1,前,前,--,均,前,--,--,國英數B社
,,,3,5,--,7,--,--,,9 
099052,法律學系財經法組,25,前,前,--,均,頂,--,--,國英數B社
,,,3,3.5,--,4,--,--,,4.5 
099062,法律學系財經法組(飛鳶組),1,前,前,--,均,前,--,--,國英數B社
,,,3,5,--,7,--,--,,9 
099072,企業管理學系,54,均,均,均,--,--,--,--,國英數A社
,,,--,--,--,--,--,--,,3 
099082,企業管理學系(飛鳶組),2,均,均,均,--,--,--,--,國英數A
,,,--,10,--,--,--,--,,5 
099092,金融與合作經營學系,27,均,均,均,--,--,--,--,英數A
,,,--,15,10,--,--,--,,3 
099102,金融與合作經營學系(飛鳶組),2,均,均,均,--,--,--,--,英數A
,,,--,15,10,--,--,--,,6 
099112,會計學系,65,均,均,均,--,均,--,--,國英數A社
,,,--,3,4,--,--,--,,6 
099122,會計學系(飛鳶組),1,均,均,均,--,均,--,--,國英數A社
,,,--,5,6,--,--,--,,8 
099132,統計學系,27,均,均,前,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
099142,統計學系(飛鳶組),1,均,均,前,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
099152,休閒運動管理學系,25,均,均,--,均,--,--,--,--
,,,--,3,--,5,--,--,,--
099162,休閒運動管理學系(飛鳶組),1,均,均,--,均,--,--,--,--
,,,--,5,--,7,--,--,,--
099172,公共行政暨政策學系,58,均,均,--,--,均,--,--,--
,,,4,5,--,--,3,--,,--
099182,公共行政暨政策學系(飛鳶組),2,均,均,--,--,均,--,--,--
,,,6,7,--,--,5,--,,--
099192,財政學系,29,均,均,均,--,均,--,--,國英數A社
,,,--,3,4,--,--,--,,5 
099202,財政學系(飛鳶組),1,均,均,均,--,均,--,--,國英數A社
,,,--,5,6,--,--,--,,7 
099212,不動產與城鄉環境學系甲組,30,前,均,--,均,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
099222,不動產與城鄉環境學系乙組,30,--,均,--,均,前,--,--,英數B社
,,,--,--,--,3,--,--,,2.5 
099232,不動產與城鄉環境學系(飛鳶組),2,均,均,--,均,--,--,--,--
,,,--,6,--,7,--,--,,--
099242,經濟學系,62,均,均,均,--,均,--,--,國英數A社
,,,--,3,3,--,--,--,,5 
099252,經濟學系(飛鳶組),2,均,均,均,--,均,--,--,國英數A社
,,,--,6,5,--,--,--,,7 
099262,社會學系,28,--,均,--,均,均,--,--,--
,,,--,4,--,5,3,--,,--
099272,社會學系(飛鳶組),1,--,均,--,均,均,--,--,--
,,,--,4,--,5,3,--,,--
099282,社會工作學系,21,均,均,--,均,--,--,--,--
,,,3,4,--,--,--,--,,--
099292,社會工作學系(飛鳶組),1,均,均,--,均,--,--,--,--
,,,6,6,--,6,--,--,,--
099302,中國文學系,23,前,均,--,--,均,--,--,國英社
,,,--,--,--,--,--,--,,3 
099312,中國文學系(飛鳶組),2,均,均,--,--,均,--,--,--
,,,4,8,--,--,10,--,,--
099322,應用外語學系,22,前,前,--,--,--,--,--,國英數B社
,,,3,4,--,--,--,--,,6 
099332,應用外語學系(飛鳶組),2,均,均,--,均,--,--,--,--
,,,3,4,--,--,--,--,,--
099342,歷史學系,14,均,--,--,--,前,--,--,國英社
,,,--,--,--,--,--,--,,3 
099352,歷史學系(飛鳶組),3,均,--,--,--,均,--,--,--
,,,7,--,--,--,4,--,,--
099362,資訊工程學系,27,--,均,均,--,--,均,--,--
,,,--,6,3,--,--,6,,--
099382,資訊工程學系(飛鳶組),1,--,均,均,--,--,--,--,--
,,,--,6,6,--,--,--,,--
099392,通訊工程學系,24,--,均,均,--,--,均,--,--
,,,--,5,3,--,--,10,,--
099402,通訊工程學系(飛鳶組),1,--,均,均,--,--,均,--,--
,,,--,7,6,--,--,10,,--
099412,電機工程學系,23,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
099422,電機工程學系(飛鳶組),2,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
