校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
100012,教育學系,17,後,--,--,--,--,--,--,--
,,,3,--,--,10,--,--,,--
100022,輔導與諮商學系,22,均,均,--,底,--,--,--,--
,,,3,8,--,--,--,--,,--
100032,特殊教育學系,17,後,--,--,--,--,--,--,--
,,,3,6,--,--,--,--,,--
100042,幼兒教育學系,25,均,--,--,--,均,--,--,--
,,,4,--,--,--,3,--,,--
100052,數位學習設計與管理學系,20,後,--,--,--,--,--,--,國英數B
,,,10,--,--,5,--,--,,3 
100062,中國文學系,21,均,--,--,--,底,--,--,--
,,,3,--,--,--,9,--,,--
100072,應用歷史學系,20,均,--,--,--,均,--,--,國社
,,,6,--,--,--,3,--,,8 
100082,外國語言學系英語教學組,29,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
100092,外國語言學系應用外語組,29,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
100102,企業管理學系,22,後,均,--,後,--,--,--,--
,,,12,3,--,8,--,--,,--
100112,應用經濟學系,21,後,後,--,均,--,--,--,--
,,,10,3,--,15,--,--,,--
100122,科技管理學系,20,後,後,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
100132,資訊管理學系,19,--,--,--,均,--,--,--,--
,,,8,3,--,5,--,--,,--
100142,資訊管理學系(資安組),4,--,--,--,均,--,--,--,--
,,,8,3,--,5,--,--,,--
100152,行銷與觀光管理學系,18,--,均,--,--,--,--,--,--
,,,10,3,--,--,--,--,,--
100162,財務金融學系,21,--,--,--,均,--,--,--,--
,,,15,3,--,3,--,--,,--
100172,農藝學系,20,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
100182,園藝學系,20,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,3,,--
100192,森林暨自然資源學系,19,--,--,--,--,--,底,--,--
,,,8,6,5,--,--,3,,--
100202,木質材料與設計學系,18,--,底,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
100212,動物科學系,18,--,後,--,--,--,後,--,英數A自
,,,--,--,--,--,--,--,,3 
100222,農業生物科技學系,16,--,底,--,--,--,底,--,國英
,,,--,--,--,--,--,5,,3 
100232,景觀學系,20,均,均,--,--,--,--,--,--
,,,3,3,--,--,3,3,,--
100242,植物醫學系,17,--,--,--,--,--,底,--,--
,,,--,5,6,--,--,3,,--
100252,電子物理學系,17,--,--,均,--,--,均,--,--
,,,--,--,3,--,--,8,,--
100262,應用化學系,16,--,--,--,--,--,均,--,--
,,,--,--,--,--,--,3,,--
100272,應用數學系,23,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,--,,--
100282,資訊工程學系,18,--,--,均,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
100292,生物機電工程學系,19,--,均,--,--,--,均,--,--
,,,--,5,8,--,--,3,,--
100302,土木與水資源工程學系,20,--,--,--,--,--,後,--,--
,,,--,--,--,--,--,3,,--
100312,電機工程學系,22,--,均,均,--,--,均,--,英數A自
,,,--,--,--,--,--,--,,3 
100322,機械與能源工程學系,20,--,--,--,--,--,均,--,數A自
,,,--,--,--,--,--,--,,3 
100332,食品科學系,18,--,均,--,--,--,後,--,--
,,,--,6,--,--,--,3,,--
100342,水生生物科學系,21,--,後,--,--,--,後,--,--
,,,--,3,--,--,--,5,,--
100352,生物資源學系,22,--,--,--,--,--,均,--,--
,,,--,6,--,--,--,3,,--
100362,生化科技學系,20,--,--,--,--,--,底,--,--
,,,8,6,--,--,--,3,,--
100372,微生物免疫與生物藥學系,19,--,後,--,--,--,均,--,國自
,,,6,4,--,--,--,5,,3 
100382,獸醫學系,23,--,均,--,--,--,均,--,國英數A自
,,,--,4,--,--,--,3,,5 
100412,視覺藝術學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
100422,體育與健康休閒學系,23,後,後,--,--,--,--,--,國英
,,,6,10,--,--,--,--,,3 
