校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
101012,西洋語文學系,23,--,均,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
101022,運動健康與休閒學系,31,後,後,--,後,--,--,--,--
,,,3,3,--,3,--,--,,--
101032,東亞語文學系日語組,7,均,均,--,--,均,--,--,--
,,,8,4,--,--,5,--,,--
101042,東亞語文學系韓語組,8,均,均,--,--,均,--,--,--
,,,8,4,--,--,5,--,,--
101052,東亞語文學系越語組,7,均,均,--,--,均,--,--,--
,,,8,4,--,--,5,--,,--
101062,法律學系,19,均,均,--,--,均,--,--,國英社
,,,--,--,--,--,--,--,,3 
101072,政治法律學系,22,均,均,--,--,均,--,--,國英社
,,,3.5,3,--,--,3.5,--,,4 
101082,財經法律學系,20,均,均,--,均,均,--,--,--
,,,3,5,--,5,--,--,,--
101092,應用經濟學系,25,均,均,--,均,--,--,--,--
,,,--,6,--,3,--,--,,--
101102,亞太工商管理學系企業管理組,14,均,均,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3.5 
101112,亞太工商管理學系工業管理組,15,均,--,--,--,--,--,--,國英數A
,,,--,--,--,--,--,--,,3 
101122,資訊管理學系,13,均,均,--,均,--,--,--,--
,,,3,3,--,3,--,--,,--
101152,財務金融學系,19,均,均,--,均,均,--,--,--
,,,--,3,--,3,--,--,,--
101172,應用數學系,30,--,--,均,--,--,--,--,國英數A
,,,--,--,3,--,--,--,,8 
101182,應用化學系,21,--,--,--,--,--,均,--,--
,,,--,--,3,--,--,3,,--
101192,應用物理學系,21,--,--,均,--,--,均,--,--
,,,--,--,8,--,--,3,,--
101212,生命科學系,22,--,後,後,--,--,均,--,--
,,,--,--,--,--,--,3,,--
101232,電機工程學系,36,--,均,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
101252,電機工程學系(青年儲蓄帳戶組),1,--,均,--,--,--,均,--,--
,,,--,--,--,--,--,--,,--
101272,土木與環境工程學系土木工程組,14,均,--,均,--,--,均,--,國數A自
,,,--,--,--,--,--,--,,3 
101282,土木與環境工程學系環境工程組,13,均,--,均,--,--,均,--,國數A自
,,,--,--,--,--,--,--,,3 
101292,化學工程及材料工程學系,18,--,均,均,--,--,均,--,--
,,,--,3,3,--,--,3,,--
101312,資訊工程學系,20,--,均,均,--,--,均,--,--
,,,--,6,3,--,--,--,,--
101322,資訊工程學系(資安組),3,--,均,均,--,--,均,--,--
,,,--,6,3,--,--,--,,--
101332,建築學系,17,均,均,底,均,--,--,--,--
,,,5,3,--,--,--,--,,--
101352,工藝與創意設計學系,26,底,底,--,--,底,--,--,--
,,,5,5,--,--,5,--,,--
