校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
108012,醫學系,25,頂,頂,頂,--,--,頂,--,--
,,,3,3,8,--,--,6,,--
108022,醫學系(公費生),7,頂,頂,頂,--,--,頂,--,--
,,,3,3,8,--,--,6,,--
108032,藥學系,15,均,均,均,--,--,均,--,國英數A自
,,,--,3,--,--,--,5,,4 
108042,醫學檢驗生物技術學系,34,--,後,--,--,--,後,--,--
,,,--,12,--,--,--,3,,--
108052,公共衛生學系,14,--,底,--,--,--,--,--,--
,,,--,3.5,3.5,--,--,--,,--
108062,護理學系,24,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
108072,醫學資訊學系,18,--,--,--,底,--,--,--,--
,,,--,12,--,3,--,--,,--
108082,物理治療學系,22,--,後,後,--,--,後,--,--
,,,--,3,9,--,--,5,,--
108092,生物醫學暨工程學系,20,--,--,--,--,--,底,--,--
,,,--,--,3,--,--,12,,--
108102,分子生物暨人類遺傳學系,14,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3.5,,--
108112,傳播學系,11,底,--,--,--,--,--,--,--
,,,4.5,--,--,--,--,--,,--
108122,兒童發展與家庭教育學系,13,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
108132,社會工作學系,13,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
108142,人類發展與心理學系,13,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
108152,東方語文學系,12,底,--,--,--,--,--,--,--
,,,4,--,--,--,--,--,,--
108162,外國語文學系,6,--,底,--,--,--,--,--,--
,,,--,8,--,--,--,--,,--
108172,外國語文學系(青年儲蓄帳戶組),1,--,底,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
108182,國際服務產業管理學士學位學程,7,--,底,--,--,--,--,--,--
,,,--,7,--,--,--,--,,--
108192,翔飛A組,7,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,7,,--
