校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
109012,醫學系,84,--,前,前,--,--,前,--,--
,,,8,3,3,--,--,3,,--
109022,醫學系(公費生),5,--,前,前,--,--,前,--,--
,,,8,4,4,--,--,4,,--
109032,牙醫學系,58,前,前,前,--,--,前,--,--
,,,10,3,7,--,--,5,,--
109042,藥學系藥學組,57,--,前,均,--,--,均,--,--
,,,--,8,10,--,--,3,,--
109052,藥學系藥學組(英語組),41,--,頂,均,--,--,均,A,--
,,,--,3,10,--,--,10,,--
109062,藥學系臨床藥學組,41,--,前,均,--,--,均,--,--
,,,--,3,10,--,--,8,,--
109072,醫學檢驗暨生物技術學系,33,--,均,均,--,--,均,--,--
,,,12,3,--,--,--,3,,--
109082,護理學系,43,--,均,--,--,--,均,--,--
,,,--,3,--,--,--,8,,--
109092,保健營養學系,40,--,--,--,--,--,均,--,國英
,,,--,--,--,--,--,10,,3 
109102,公共衛生學系,24,--,--,--,--,--,均,--,--
,,,--,3,10,--,--,10,,--
109112,醫務管理學系,31,--,均,--,均,--,--,--,--
,,,4,8,--,3,3,--,,--
109122,呼吸治療學系,27,均,均,--,--,--,均,--,--
,,,10,8,--,--,--,3,,--
109132,高齡健康暨長期照護學系,27,--,均,--,--,--,--,--,--
,,,--,3,3,--,--,--,,--
109142,牙體技術學系,22,均,均,--,均,--,均,--,--
,,,3,7,--,--,--,10,,--
109152,口腔衛生學系,20,均,均,均,均,--,--,--,--
,,,3,10,--,--,--,--,,--
109162,生物醫學工程學系,19,--,--,均,--,--,均,--,--
,,,--,--,10,--,--,3,,--
109172,食品安全學系,22,均,均,--,--,--,--,--,--
,,,3,3,10,--,--,8,,--
109182,醫學系(展翅A組),3,--,前,均,--,--,前,--,--
,,,8,3,3,--,--,3,,--
109192,牙醫學系(展翅B組),1,均,前,均,--,--,前,--,國英數A自
,,,--,5,--,--,--,5,,3 
109202,展翅C組,6,--,均,均,--,--,均,--,英數A自
,,,--,10,--,--,--,10,,5 
109212,展翅D組,6,--,底,--,--,--,--,--,--
,,,10,7,--,--,--,--,,--
109222,展翅E組,4,--,底,--,--,--,--,--,--
,,,--,7,--,--,--,10,,--
