校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
110012,企業與創業管理學系,16,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
110022,企業與創業管理學系(青年儲蓄帳戶組),1,--,--,--,--,底,--,--,--
,,,--,--,--,--,--,--,,--
110032,國際企業學系,18,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
110042,商學院國際榮譽學士學位學程,8,--,後,--,--,--,--,--,--
,,,--,6,--,--,--,--,,--
110052,國際物流與運輸管理學系,20,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
110062,空運管理學系,31,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
110072,觀光與餐飲旅館學系,30,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
110082,觀光與餐飲旅館學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
110092,休閒事業管理學系,14,--,--,--,--,底,--,--,--
,,,--,--,--,--,3.5,--,,--
110102,資訊管理學系,20,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
110112,資訊管理學系(青年儲蓄帳戶組),1,底,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
110122,資訊傳播學系,20,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
110132,資訊傳播學系(青年儲蓄帳戶組),1,--,--,--,--,底,--,--,--
,,,--,--,--,--,--,--,,--
110142,電影與創意媒體學系,27,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
110152,法律學系,39,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
110162,應用日語學系,41,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
110172,應用日語學系(青年儲蓄帳戶組),1,--,底,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
110182,應用英語學系,18,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
110192,保健營養學系,19,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
110202,健康產業管理學系,19,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
110212,AI科技與創新設計學士學位學程,13,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
