校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
113012,財務金融學系,20,--,--,均,均,--,--,--,--
,,,3,--,--,--,--,--,,--
113022,財經法律學系,20,均,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
113032,企業管理學系,10,均,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
113042,金融管理學院學士班,14,均,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
113052,人工智慧學系,10,--,--,均,均,--,--,--,--
,,,3,--,--,--,--,--,,--
113062,財務金融學系(青年儲蓄帳戶組),1,均,--,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
113072,運動產業管理學士學位學程,25,均,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
