校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
130012,建築環境設計學士學位學程(社會組),6,--,--,--,--,底,--,--,--
,,,--,--,--,--,8,--,,--
130022,建築環境設計學士學位學程(自然組),10,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,5,,--
130032,傳播學系(數位媒體組),18,底,--,--,--,--,--,--,國社
,,,--,--,--,--,--,--,,3 
130042,傳播學系(廣告公關組),15,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
130052,傳播學系(流行音樂傳播組),18,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
130062,資訊應用學系(資訊系統與智慧應用組),14,底,--,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3.5 
130072,資訊應用學系(動畫與數位內容組),15,--,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,3 
130082,資訊應用學系(數位遊戲開發組),14,底,--,--,--,--,--,--,--
,,,3.5,--,--,--,--,--,,--
130092,中國文學與應用學系,23,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
130102,歷史學系(A組),14,--,--,--,--,底,--,--,--
,,,--,--,--,--,3.5,--,,--
130112,歷史學系(B組),10,--,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,5 
130122,外國語文學系(英日組),20,--,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
130132,外國語文學系(英韓組),15,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
130142,社會學暨社會工作學系,38,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
130152,心理學系,39,--,--,底,底,--,--,--,國英
,,,--,--,--,--,--,--,,3 
130162,公共事務學系(國際與兩岸事務組),20,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
130172,公共事務學系(行政管理組),20,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
130182,管理學系(經營管理組),11,底,--,--,--,--,--,--,--
,,,4.5,--,--,--,--,--,,--
130192,管理學系(行銷與休閒管理組),11,--,--,--,--,底,--,--,--
,,,--,--,--,--,4.5,--,,--
130202,應用經濟學系(財務金融組),22,--,--,--,--,底,--,--,--
,,,6,--,--,--,3,--,,--
130212,應用經濟學系(國際商務組),18,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
130222,樂活產業學系,26,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
130232,健康與創意蔬食產業學系,16,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
130242,產品與媒體設計學系(創意產品設計組),28,--,--,--,--,--,--,--,--
,,,5,--,--,--,10,--,,--
130252,產品與媒體設計學系(商業媒體設計組),29,--,--,--,--,--,--,--,--
,,,10,--,--,--,--,--,,--
