校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
134012,健康產業管理學系跨領域高齡智慧照顧組,31,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134022,健康產業管理學系醫療機構管理組,38,底,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
134032,食品營養與保健生技學系食品營養組,34,底,底,--,--,--,底,--,--
,,,10,7,--,--,--,3,,--
134042,食品營養與保健生技學系藥用化粧品醫美組,29,底,底,--,--,--,--,--,國英
,,,10,7,--,--,--,--,,3 
134052,醫學檢驗暨生物技術學系醫事檢驗組,33,後,後,--,--,--,後,--,國英自
,,,10,8,--,--,--,7,,3 
134062,醫學檢驗暨生物技術學系生物技術組,33,--,後,--,--,--,後,--,國英自
,,,--,10,--,--,--,8,,3 
134072,心理學系心理師研修組,12,--,--,--,--,--,底,--,英自
,,,--,15,--,--,--,13,,4 
134082,心理學系諮商與臨床心理組,32,--,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
134092,心理學系諮商與臨床心理組(青年儲蓄帳戶組),1,--,底,--,--,--,--,--,--
,,,--,--,--,--,--,--,,--
134102,心理學系工商與社會心理組,34,--,--,--,--,底,--,--,英社
,,,--,--,--,--,--,--,,3 
134112,視光學系,74,底,底,--,--,--,--,--,國英
,,,--,--,--,--,--,--,,3 
134122,聽力暨語言治療學系,64,底,底,--,--,--,底,--,--
,,,8,5,--,--,--,3,,--
134132,職能治療學系,78,底,底,--,--,--,底,--,--
,,,--,3,--,--,--,--,,--
134142,物理治療學系,31,後,後,--,--,--,後,--,--
,,,5,3,--,--,--,4,,--
134152,護理學系國際護理組,38,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
134162,護理學系銀髮智慧照護組,40,--,--,--,--,--,底,--,--
,,,--,--,--,--,--,3,,--
134172,護理學系臨床照護組,49,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134182,長期照護學系,39,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134192,生物資訊與醫學工程學系生醫資訊組,31,--,--,--,底,--,--,--,--
,,,8,--,--,3,--,--,,--
134202,生物資訊與醫學工程學系醫學工程組,30,後,--,--,--,--,--,--,--
,,,8,--,--,3,--,--,,--
134212,資訊工程學系人工智慧組,32,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134222,資訊工程學系智慧電子組,32,--,--,--,底,--,--,--,--
,,,--,--,--,3,--,--,,--
134232,資訊工程學系(資安組),3,--,底,--,--,--,底,--,--
,,,--,--,--,15,--,--,,--
134242,行動商務與多媒體應用學系,23,底,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,3 
134252,資訊傳播學系,45,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134262,經營管理學系行銷與企業管理組,53,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134272,經營管理學系休閒遊憩管理組,19,--,--,--,--,底,--,--,--
,,,--,--,--,--,3,--,,--
134282,會計與資訊學系,33,底,--,--,--,--,--,--,--
,,,--,--,--,--,3,--,,--
134292,財務金融學系投資理財組,32,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134302,財務金融學系金融科技組,33,--,--,--,--,底,--,--,--
,,,--,--,--,3,6,--,,--
134312,財經法律學系,69,底,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
134322,外國語文學系,25,--,底,--,--,--,--,--,--
,,,--,3,--,--,--,--,,--
134332,社會工作學系兒少家庭與心衛社工組,30,底,底,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
134342,社會工作學系醫務與長期照顧社工組,30,底,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
134352,幼兒教育學系文教產業組,27,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134362,幼兒教育學系幼教師資組,35,底,--,--,--,底,--,--,國社
,,,--,--,--,--,--,--,,3 
134372,數位媒體設計學系動漫遊戲組,25,底,--,--,--,底,--,--,--
,,,3,--,--,--,3,--,,--
134382,數位媒體設計學系視覺傳達組,30,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134392,創意商品設計學系,29,底,--,--,--,--,--,--,--
,,,1,--,--,--,--,--,,--
134402,時尚設計學系,27,底,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
134412,室內設計學系,26,底,--,--,--,--,--,--,國英
,,,8,--,--,--,--,--,,3 
