校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
150012,外國語文學系,10,--,均,--,--,--,--,--,--
,,,6,5,--,--,--,--,,--
150022,應用經濟與管理學系,20,--,均,--,--,--,--,--,國英社
,,,--,--,--,3,--,--,,5 
150032,休閒產業與健康促進學系,18,後,--,--,--,--,--,--,國英社
,,,--,3,--,--,--,--,,4 
150042,土木工程學系,41,--,--,--,--,--,後,--,--
,,,--,--,5,--,--,3,,--
150052,機械與機電工程學系,14,--,--,後,--,--,--,--,--
,,,3.5,--,--,--,--,3.5,,--
150062,化學工程與材料工程學系,31,--,--,後,--,--,後,--,--
,,,--,--,5,--,--,3,,--
150072,環境工程學系,21,--,--,後,--,--,--,--,--
,,,4.5,--,--,--,--,3,,--
150082,生物機電工程學系,15,--,--,--,--,--,後,--,--
,,,4.5,--,--,--,--,3,,--
150092,食品科學系,25,--,--,--,--,--,後,--,--
,,,--,5,--,--,--,3,,--
150102,生物技術與動物科學系,25,--,--,--,--,--,後,--,--
,,,--,4,--,--,--,3,,--
150112,森林暨自然資源學系,15,--,--,--,--,--,後,--,國英數B
,,,--,--,--,--,--,3,,6 
150122,園藝學系,11,--,--,--,--,--,後,--,--
,,,5,6,--,--,--,4.5,,--
150132,電機工程學系,43,--,--,均,--,--,--,--,--
,,,--,--,3,--,--,5,,--
150142,電子工程學系,43,--,--,後,--,--,--,--,英數A
,,,--,--,3,--,--,5,,4 
150152,資訊工程學系,12,--,--,後,--,--,--,--,--
,,,--,5,4,--,--,--,,--
