校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
151012,機械工程學系,24,--,--,後,--,--,--,--,--
,,,3,--,6,--,--,--,,--
151022,化學工程學系,47,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
151032,土木與防災工程學系,28,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,--,,--
151042,材料科學工程學系,24,--,--,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,--,,3 
151052,環境與安全衛生工程學系,31,--,--,--,--,--,後,--,數A自
,,,--,--,--,--,--,--,,3 
151062,能源工程學系,32,--,--,--,--,--,後,--,--
,,,--,5,--,--,--,3,,--
151072,建築學系,16,後,--,--,--,--,--,--,--
,,,6,3,5,--,--,--,,--
151082,工業設計學系,19,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
151092,電機工程學系,42,--,--,後,--,--,--,--,--
,,,--,--,3,--,--,8,,--
151102,電子工程學系,60,--,--,後,--,--,--,--,國數A
,,,--,--,--,--,--,--,,3 
151112,光電工程學系,26,--,--,後,--,--,後,--,--
,,,--,--,5,--,--,3,,--
151122,資訊工程學系,16,--,後,均,--,--,--,--,--
,,,--,3,5,--,--,--,,--
151142,經營管理學系,46,後,--,--,--,--,--,--,--
,,,--,3,--,3,--,--,,--
151152,資訊管理學系,15,後,--,--,--,--,--,--,國英數B
,,,--,--,--,--,--,--,,3 
151172,財務金融學系,32,--,後,--,--,--,--,--,國英數B社
,,,--,5,--,4,--,--,,3 
151182,臺灣語文與傳播學系,21,後,後,--,--,--,--,--,--
,,,4,3,--,--,--,--,,--
151192,華語文學系,28,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
151202,文化觀光產業學系,32,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
151212,文化創意與數位行銷學系,23,後,--,--,--,--,--,--,--
,,,8,--,--,--,3,--,,--
