校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
152012,醫學系,20,--,頂,頂,--,前,頂,--,英數A社自
,,,--,3,8,--,3,8,,5 
152022,護理學系,44,後,後,--,--,--,後,--,--
,,,--,3,--,--,--,8,,--
152032,聽力暨語言治療學系聽力組,12,後,後,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,--,,4 
152042,聽力暨語言治療學系語言組,16,後,後,--,--,--,後,--,--
,,,4,3,--,--,--,3,,--
152052,視光學系,20,--,--,--,--,--,均,--,--
,,,--,6,--,--,--,3,,--
152062,醫學檢驗暨再生醫學學系,24,--,--,--,--,--,均,--,--
,,,--,10,--,--,--,3,,--
152072,醫學系(薪傳組),1,--,均,前,--,前,前,--,英數A社自
,,,--,6,8,--,6,8,,5 
152082,護理學系(薪傳組),2,--,後,--,--,--,後,--,--
,,,--,3,--,--,--,8,,--
152092,聽力暨語言治療學系聽力組(薪傳組),1,--,後,--,--,--,後,--,國英數A自
,,,--,--,--,--,--,--,,3 
152102,視光學系(薪傳組),1,--,--,--,--,--,後,--,--
,,,--,8,--,--,--,3,,--
152112,視光學系(青年儲蓄帳戶組),1,--,--,--,--,--,後,--,--
,,,--,--,--,--,--,--,,--
