校系代碼,學系名稱,招生人數,國,英,數A,數B,社,自,英聽,相加項
153012,應用英語學系,9,--,後,--,--,--,--,--,--
,,,--,5.5,--,--,--,--,,--
153022,運動與休閒學系,20,後,--,--,--,--,--,--,--
,,,5,--,--,--,3,--,,--
153032,企業管理學系,25,後,--,--,後,--,--,--,--
,,,3,3,--,--,3,--,,--
153042,電機工程學系,21,--,--,--,--,--,後,--,--
,,,3,--,--,--,--,--,,--
153062,食品科學系,22,--,--,底,底,--,後,--,--
,,,--,--,--,--,--,3,,--
153072,土木與工程管理學系,14,--,--,--,--,--,後,--,國自
,,,--,--,--,--,--,--,,3.5 
153082,觀光管理學系,20,後,--,--,--,--,--,--,--
,,,4,--,--,--,3,--,,--
153092,資訊工程學系,20,--,--,--,--,--,均,--,--
,,,--,5,3,--,--,--,,--
153122,建築學系,27,後,後,--,--,--,--,--,--
,,,3,3,--,--,--,--,,--
153132,國際暨大陸事務學系,22,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
153142,華語文學系,20,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
153152,海洋與邊境管理學系,21,後,--,--,--,--,--,--,--
,,,3,--,--,--,--,--,,--
153162,工業工程與管理學系,19,後,--,底,底,--,--,--,--
,,,3,--,--,--,--,--,,--
153172,護理學系(A組),10,後,--,--,--,--,--,--,--
,,,8,--,--,--,--,5,,--
153182,護理學系(B組),6,後,--,--,--,--,--,--,--
,,,8,7,--,--,--,--,,--
153192,長期照護學系,20,後,--,--,--,--,--,--,--
,,,5,3,--,--,--,--,,--
153202,社會工作學系,23,--,--,--,--,後,--,--,國英社
,,,4,--,--,--,3,--,,5 
153212,都市計畫與景觀學系,21,後,--,--,--,--,--,--,--
,,,5,--,--,--,3,--,,--
